depth	min95%	max95%	best	acc.rate
1	-73	110	11	89.33
3	94	291	190	89.24
5	234	485	368	89.01
7	361	678	546	88.65
9	483	870	723	88.15
11	611	1059	899	87.52
13	740	1251	1074	86.75
15	869	1439	1247	85.85
17	1005	1627	1418	84.82
19	1136	1814	1587	83.65
21	1268	1998	1754	82.35
23	1408	2181	1918	80.91
25	1551	2358	2079	79.34
27	1694	2545	2237	77.64
29	1839	2724	2391	75.8
31	1986	2899	2542	73.82
33	2138	3063	2688	72.1
35	2297	3236	2832	71.51
37	2459	3423	2975	72.1
39	2630	3610	3120	73.88
41	2802	3795	3269	76.84
43	2991	3969	3425	80.99
45	3198	4147	3589	86.33
47	3396	4338	3765	92.75
49	3598	4521	3954	98.8
51	3788	4713	4154	103.81
53	3996	4907	4364	107.79
55	4202	5106	4581	110.73
57	4412	5307	4803	112.65
59	4627	5498	5029	113.53
61	4845	5694	5256	113.38
63	5059	5890	5483	112.2
65	5277	6078	5706	109.99
69	5703	6456	6136	102.46
71	5908	6646	6338	97.2
73	6117	6810	6530	91.68
79	6642	7310	7039	75.48
81	6810	7462	7188	70.2
83	6957	7604	7325	64.98
87	7229	7864	7570	54.73
91	7433	8116	7774	45.03
93	7507	8244	7862	40.81
96	7606	8423	7979	35.34
99	7682	8625	8080	30.89
101	7723	8739	8140	28.5
103	7765	8850	8196	26.56
105	7796	8960	8249	25.08
107	7825	9069	8298	24.06
109	7856	9199	8346	23.5
113	7898	9433	8440	23.37
115	7916	9549	8486	23.37
117	7928	9667	8533	23.37
119	7942	9794	8580	NA
