depth	min95%	max95%	best	acc.rate
300	9824	10192	10004	2.07
500	10232	10603	10417	2.07
1000	11270	11637	11450	2.07
1100	11474	11841	11656	2.07
1500	12291	12674	12482	2.07
2000	13299	13729	13515	2.07
2500	14306	14773	14547	2.07
3700	16703	17304	17026	2.07
5000	19292	20068	19710	2.07
5100	19493	20281	19917	2.07
5200	19692	20494	20123	2.07
6000	21288	22196	21775	2.07
7700	24665	25826	25286	2.07
8000	25263	26470	25905	2.07
8400	26063	27330	26731	2.07
10000	28605	30047	29281	1.54
10800	29727	31481	30517	1.54
11900	31225	33564	32216	1.54
12000	31346	33749	32370	1.54
13600	33389	36795	34842	1.54
14000	33873	37547	35460	1.54
15700	35186	38670	36698	0.43
16000	35378	38750	36829	0.43
18200	36700	39268	37786	0.43
19200	37293	39492	38220	0.43
20000	37715	39735	38568	0.43
21900	38657	40278	39395	0.43
22000	38707	40313	39438	0.43
24000	39523	41051	40308	0.43
24800	39821	41443	40656	0.43
26000	40234	42066	41178	NA
