depth	min95%	max95%	best	acc.rate
1000	4917	5400	5159	1.95
1050	5041	5476	5257	1.95
1440	5791	6246	6019	1.95
1500	5894	6385	6136	1.95
1670	6166	6804	6468	1.95
1760	6313	7031	6644	1.95
1800	6370	7132	6722	1.95
1850	6599	7242	6897	3.66
1910	6890	7365	7117	3.66
1960	7127	7487	7300	3.66
2050	7479	7797	7629	3.66
2100	7612	8024	7812	3.66
2140	7700	8217	7958	3.66
2180	7790	8415	8105	3.66
2220	7869	8630	8251	3.66
2260	7946	8843	8398	3.66
2300	8028	9054	8544	3.66
2340	8105	9262	8690	3.66
2380	8193	9465	8837	3.66
2420	8272	9664	8983	3.66
2480	8383	9970	9203	NA
