"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
1	0	1	1	1	3
3	0	1	1	1	3
5	0	1	1	1	3
7	0	1	1	1	3
9	0	1	1	1	3
11	0	1	1	1	3
13	0	1	1	1	3
15	0	1	1	1	3
17	0	1	1	1	3
19	0	1	1	1	3
21	0	1	1	1	3
23	0	1	1	1	3
25	0	1	1	1	3
27	0	1	1	1	3
29	0	1	1	1	3
31	0	1	1	1	3
33	0	1	1	1	3
35	0	1	1	1	3
37	0	1	1	1	3
39	0	1	1	1	3
41	0	1	1	1	3
43	0	1	1	1	3
45	0	1	1	1	3
47	0	1	1	1	3
49	0	1	1	1	3
51	0	1	1	0	2
53	0	1	1	0	2
55	0	1	0	0	1
57	0	1	0	0	1
59	0	1	0	0	1
61	0	1	0	0	1
63	0	1	0	0	1
65	0	1	1	1	3
69	0	1	1	1	3
71	0	1	1	1	3
73	0	1	1	1	3
79	0	1	1	1	3
81	0	1	1	1	3
83	0	1	1	1	3
87	0	1	1	1	3
91	0	1	1	1	3
93	0	1	1	1	3
96	0	1	1	1	3
99	0	1	1	1	3
101	0	1	1	1	3
103	0	1	1	1	3
105	0	1	1	1	3
107	0	1	1	1	3
109	0	1	1	1	3
113	0	1	1	1	3
115	0	1	1	1	3
117	0	1	1	1	3
119	0	1	1	1	3
