depth	min95%	max95%	best	acc.rate
0	-206	44	-33	22.38
5	-81	161	79	22.45
10	49	283	192	22.67
25	430	658	541	24.14
40	822	1074	921	26.86
45	957	1222	1057	28.04
50	1099	1375	1200	29.36
65	1566	1869	1672	34.14
75	1921	2235	2031	37.94
85	2281	2631	2425	41.11
95	2663	3046	2847	43.26
105	3050	3483	3285	44.4
130	4027	4576	4389	42.77
150	4793	5365	5195	36.88
155	4977	5544	5376	34.84
160	5156	5715	5546	32.87
170	5496	6020	5858	29.25
180	5802	6293	6136	26.05
190	6087	6541	6383	23.28
200	6352	6768	6605	20.92
210	6604	6969	6805	18.99
220	6805	7152	6988	17.47
235	7065	7396	7238	16.01
245	7226	7573	7397	15.78
255	7393	7752	7556	16.27
270	7663	8052	7813	18.35
280	7866	8269	8006	20.63
285	7976	8385	8112	22.04
290	8089	8512	8225	23.58
295	8209	8635	8346	25.06
305	8459	8908	8609	27.74
310	8590	9050	8751	28.95
325	9020	9503	9208	32.07
340	9478	9969	9706	34.39
360	10115	10635	10414	36.27
375	10585	11204	10962	36.76
380	10743	11400	11146	36.76
385	10902	11599	11330	36.76
395	11214	11994	11697	36.76
408	11627	12524	12175	36.76
415	11833	12813	12433	NA
