depth	min95%	max95%	best	acc.rate
0	348	1085	747	28.26
10	677	1323	1030	28.26
25	1181	1681	1454	28.26
45	1827	2168	2019	28.26
50	1988	2290	2160	28.26
60	2290	2546	2428	28.26
75	2735	2983	2852	28.26
80	2871	3129	2994	28.26
90	3136	3431	3276	28.26
105	3675	4027	3839	83.98
120	4953	5251	5099	83.98
130	5786	6104	5939	83.98
145	7013	7429	7198	83.98
155	7656	8119	7864	14.2
172	7943	8294	8105	14.2
190	8203	8585	8361	14.2
205	8393	8885	8574	14.2
215	9116	9513	9285	90.1
225	9978	10394	10186	90.1
235	10734	11336	11042	90.1
245	11465	12371	11943	90.1
255	12187	13415	12844	NA
