depth	min95%	max95%	best	acc.rate
0	-70	137	14	39.58
10	282	528	409	39.5
25	751	1119	1000	39.11
45	1434	1921	1773	38.07
50	1619	2128	1963	37.72
60	1976	2574	2338	37.44
75	2548	3282	2912	39.83
80	2758	3544	3114	41.38
90	3233	4073	3545	45.64
105	3904	4889	4290	54.68
120	4549	5732	5158	60.23
130	5010	6282	5762	60.19
145	5717	7091	6634	54.52
155	6187	7588	7148	47.24
172	6975	8414	7870	38.44
190	7849	9182	8539	37.19
205	8659	9801	9127	42.5
215	9166	10205	9576	47.65
225	9609	10629	10068	50.5
235	9988	11064	10577	51.08
245	10367	11596	11088	51.08
255	10738	12233	11599	NA
