depth	min95%	max95%	best	acc.rate
5	-1258	-90	-614	22.14
10	-1090	-32	-504	22.14
15	-932	32	-393	22.14
20	-762	97	-282	22.14
25	-608	158	-171	22.14
30	-458	219	-61	22.14
35	-283	284	50	22.14
40	-105	356	161	22.14
45	44	432	271	22.14
50	176	513	371	22.14
55	296	628	482	22.14
60	392	762	592	22.14
65	493	906	703	22.14
70	579	1062	814	22.14
75	653	1218	925	22.14
80	717	1407	1035	22.14
85	780	1574	1146	22.14
90	936	1709	1289	35.08
95	1167	1807	1464	35.08
100	1397	1925	1640	35.08
105	1613	2058	1815	35.08
115	1951	2478	2166	35.08
125	2651	3165	2866	81.64
140	3851	4360	4091	81.64
145	4222	4790	4499	81.64
155	4969	5685	5315	81.64
160	5336	6142	5723	81.64
170	6073	7044	6540	83.38
180	7029	7803	7389	85.11
190	7941	8573	8240	85.11
200	8823	9431	9092	85.11
210	9658	10359	9943	85.11
220	10283	11022	10581	-0.18
230	10339	10892	10579	-0.18
240	10315	10973	10577	-0.18
250	10225	11113	10575	-0.18
261	10061	11328	10573	-0.18
270	9907	11484	10572	NA
