depth	min95%	max95%	best	acc.rate
5	-1293	-110	-499	18
10	-1149	-52	-409	18
15	-1005	6	-319	18
20	-857	60	-229	18
25	-704	119	-139	18
30	-565	176	-49	18
35	-433	235	41	18
40	-295	294	131	18
45	-169	369	221	18
50	-34	454	311	18.07
55	90	547	402	18.5
60	217	644	496	19.32
65	362	752	595	20.53
70	503	868	700	22.14
75	629	994	815	24.14
80	764	1133	940	26.53
85	898	1289	1078	29.32
90	1051	1459	1231	32.51
95	1217	1652	1401	36.19
100	1409	1852	1590	40.37
105	1625	2090	1801	45.04
115	2136	2605	2298	55.86
125	2746	3233	2910	67.21
140	3814	4326	4012	79.64
145	4206	4719	4416	82.52
155	5019	5551	5261	86.38
160	5445	5997	5695	87.36
170	6294	6893	6571	87.43
180	7081	7775	7436	84.67
190	7820	8610	8258	78.75
200	8504	9337	9007	69.69
210	9103	9960	9652	57.47
220	9626	10531	10160	42.51
230	10064	11082	10529	31.02
240	10430	11639	10808	25.14
250	10671	12218	11053	24.3
261	10741	12807	11321	24.3
270	10794	13280	11539	NA
