"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
5	0	1	1	1	3
10	0	1	1	1	3
15	0	1	1	1	3
20	0	1	1	1	3
25	0	1	1	1	3
30	0	1	1	1	3
35	0	1	1	1	3
40	0	1	1	1	3
45	0	1	1	1	3
50	0	1	1	1	3
55	0	1	1	1	3
60	0	1	1	1	3
65	0	1	1	1	3
70	0	1	1	1	3
75	0	1	1	1	3
80	0	1	1	1	3
85	0	1	1	1	3
90	1	1	1	1	4
95	1	1	1	1	4
100	1	1	1	1	4
105	1	1	1	1	4
115	1	1	1	1	4
125	1	1	1	1	4
140	1	1	0	0	2
145	1	1	0	0	2
155	1	1	0	0	2
160	1	1	1	1	4
170	1	1	1	1	4
180	1	1	1	0	3
190	1	1	0	0	2
200	1	1	1	1	4
210	1	1	1	1	4
220	1	1	1	1	4
230	1	1	1	1	4
240	1	1	1	1	4
250	0	1	1	1	3
261	0	1	1	1	3
270	0	1	1	1	3
