depth	min95%	max95%	best	acc.rate
5	-39	1	-20	10.23
15	58	104	83	10.23
25	151	219	185	10.23
35	242	335	287	10.23
45	330	454	390	10.23
55	418	574	492	10.23
65	537	720	623	67.48
75	1216	1391	1298	67.48
85	1875	2092	1973	67.48
95	2524	2807	2648	67.48
105	3170	3526	3322	67.48
115	3812	4247	3997	67.48
125	4426	4902	4628	50.04
135	4950	5369	5129	50.04
145	5469	5839	5629	50.04
155	5990	6308	6130	50.04
165	6494	6779	6630	50.04
175	6983	7259	7130	50.04
185	7467	7750	7631	50.04
190	7706	8005	7881	50.04
200	8158	8495	8356	NA
