depth	min95%	max95%	best	acc.rate
0	-2564	-1410	-1968	117.27
5	-1894	-897	-1382	117.27
10	-1226	-382	-795	117.27
15	-559	131	-209	117.27
20	105	644	377	117.27
25	772	1161	964	117.27
30	1423	1683	1550	117.27
35	2052	2224	2137	117.27
40	2650	2823	2723	117.27
45	3022	3160	3081	60.28
50	3316	3484	3383	60.28
55	5502	5701	5599	539.09
60	8110	8456	8295	539.09
65	9018	9345	9187	88.32
70	9479	9767	9629	88.32
75	9912	10208	10070	88.32
80	10325	10664	10512	88.32
85	10499	10802	10665	16.08
90	10599	10885	10745	16.08
95	10666	10992	10825	16.08
100	10718	11116	10906	16.08
105	10777	11151	10962	10.1
110	10815	11163	11013	10.1
115	10855	11176	11063	10.1
120	10878	11203	11114	10.1
125	11125	11403	11230	32.08
130	12051	12278	12160	224.35
135	13021	13409	13214	16878.01
140	41693	44455	42921	48.48
145	41966	44630	43163	48.48
150	42216	44829	43406	48.48
155	42426	45106	43648	48.48
160	42608	45485	43891	48.48
165	42734	45950	44133	48.48
170	42860	46479	44375	48.48
175	42920	47028	44618	48.48
180	43025	47595	44860	48.48
185	43065	48162	45102	48.48
190	43758	48252	45668	209.99
195	44726	48760	46718	209.99
200	44865	49729	47348	-0.12
205	45087	49527	47347	-0.12
210	45279	49418	47346	-0.12
215	45362	49358	47346	-0.12
220	45418	49281	47345	-0.12
225	45425	49224	47345	-0.12
230	45339	49224	47344	-0.12
235	45146	49288	47344	-0.12
240	44941	49383	47343	-0.12
245	44715	49646	47342	-0.12
250	44401	49877	47342	-0.12
255	44144	50164	47341	-0.12
260	43868	50454	47341	-0.12
265	43529	50818	47340	-0.12
270	43144	51164	47340	-0.12
275	42800	51542	47339	-0.12
280	42458	51934	47338	-0.12
290	41642	52675	47337	-0.12
285	42037	52323	47338	-0.12
290	41642	52675	47337	-0.12
295	41289	53063	47337	NA
