depth	min95%	max95%	best	acc.rate
0	-182	45	-28	38.34
5	26	252	166	39.62
10	209	475	370	43.09
15	407	711	596	48.74
20	673	970	854	56.56
25	992	1264	1156	66.58
30	1354	1606	1512	78.8
35	1739	2057	1938	95.82
40	2175	2726	2462	119.44
45	2800	3652	3129	162.02
50	3677	4830	4084	241.38
55	4737	6257	5456	307.9
60	5987	7723	6993	289.69
65	7261	8970	8308	223.95
70	8428	9811	9308	165.5
75	9424	10387	10031	114.94
80	10158	10771	10518	72.29
85	10589	11005	10807	37.96
90	10778	11101	10942	12.58
95	10807	11127	10969	-3.84
100	10765	11100	10931	-11.31
105	10700	11071	10874	-9.34
110	10655	11079	10848	2.77
115	10696	11164	10902	25.04
120	10898	11360	11088	57.45
125	11280	11746	11455	98.54
130	11663	12280	12023	130.13
135	12092	12944	12690	134.86
140	41822	44288	42936	59.44
145	42147	44615	43233	59.58
150	42453	44943	43532	59.86
155	42732	45381	43832	60.29
160	43017	45725	44135	60.87
165	43238	46120	44440	61.58
170	43458	46618	44750	62.45
175	43690	47029	45064	63.45
180	43898	47380	45384	64.61
185	44177	47773	45709	65.9
190	44457	48164	46041	66.49
195	44706	48454	46366	61.3
200	44938	48745	46652	50.47
205	45171	48827	46882	39.83
210	45375	48922	47062	30.38
215	45477	49008	47197	22.12
220	45553	49067	47293	15.03
225	45588	49111	47356	9.14
230	45612	49133	47392	4.42
235	45529	49316	47406	0.89
240	45472	49517	47405	-1.45
245	45369	49744	47395	-2.61
250	45165	49996	47382	-2.75
255	44916	50245	47368	-2.75
260	44696	50525	47354	-2.75
265	44345	50786	47341	-2.75
270	43976	51042	47327	-2.75
275	43600	51328	47313	-2.75
280	43222	51678	47299	-2.75
290	42466	52392	47272	-2.75
285	42844	52035	47286	-2.75
290	42466	52392	47272	-2.75
295	42052	52748	47258	NA
