"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	0	0	0	0
2.5	0	0	0	0	0
5	0	0	0	0	0
7.5	0	0	0	0	0
10	0	0	0	0	0
12.5	0	0	0	0	0
15	0	0	0	0	0
17.5	0	0	0	0	0
20	0	1	0	0	1
22.5	0	1	0	0	1
25	0	1	0	0	1
27.5	0	1	1	1	3
30	0	1	1	1	3
32.5	0	1	1	1	3
35	0	1	1	1	3
37.5	0	1	1	1	3
40	0	1	1	1	3
42.5	0	1	1	0	2
45	0	1	1	1	3
47.5	0	1	1	1	3
50	0	1	1	1	3
52.5	1	1	1	1	4
55	1	1	1	1	4
57.5	1	1	1	1	4
60	1	1	1	1	4
62.5	1	1	1	1	4
65	1	1	1	1	4
67.5	1	1	1	1	4
70	1	1	1	1	4
72.5	1	1	1	1	4
75	1	1	1	1	4
77.5	1	1	1	1	4
80	1	1	1	1	4
82.5	1	1	1	1	4
85	1	1	1	1	4
87.5	1	1	1	1	4
90	1	1	1	1	4
92.5	1	1	1	1	4
95	1	1	1	1	4
97.5	1	1	1	1	4
100	1	1	1	1	4
102.5	1	1	1	1	4
105	1	1	1	1	4
107.5	1	1	1	0	3
110	1	1	1	0	3
112.5	1	1	1	0	3
115	1	1	1	1	4
117.5	1	1	1	1	4
120	1	1	1	1	4
122.5	1	1	1	1	4
125	1	1	1	1	4
127.5	1	1	1	0	3
130	1	1	0	0	2
132.5	1	1	0	0	2
135	1	1	1	1	4
137.5	1	1	0	0	2
140	1	0	0	0	1
142.5	1	0	0	0	1
145	1	0	0	0	1
147.5	1	0	0	0	1
150	1	0	0	0	1
152.5	1	1	0	0	2
155	1	1	1	1	4
157.5	1	1	0	0	2
160	1	0	0	0	1
162.5	1	0	0	0	1
165	1	0	0	0	1
167.5	1	0	0	0	1
170	1	0	0	0	1
172.5	1	1	0	0	2
175	1	1	1	1	4
177.5	1	1	1	1	4
180	1	1	0	0	2
182.5	1	1	0	0	2
185	1	0	0	0	1
187.5	1	1	0	0	2
190	1	1	0	0	2
192.5	1	1	1	1	4
195	1	1	1	1	4
197.5	1	1	1	1	4
200	1	1	1	0	3
202.5	1	1	0	0	2
205	1	1	0	0	2
207.5	1	1	1	1	4
210	1	1	1	1	4
212.5	1	1	1	1	4
215	1	1	1	1	4
217.5	1	1	1	0	3
220	1	1	1	0	3
222.5	1	1	0	0	2
225	1	1	0	0	2
227.5	1	1	0	0	2
230	1	0	0	0	1
232.5	1	0	0	0	1
235	1	0	0	0	1
237.5	1	1	0	0	2
240	1	1	0	0	2
242.5	1	1	0	0	2
245	1	1	1	1	4
247.5	1	1	1	1	4
250	1	1	1	1	4
252.5	1	1	1	1	4
255	1	1	1	0	3
257.5	1	1	1	0	3
260	1	1	0	0	2
262.5	1	1	0	0	2
265	1	1	0	0	2
267.5	1	0	0	0	1
270	1	0	0	0	1
272.5	1	1	0	0	2
275	1	1	0	0	2
277.5	1	1	0	0	2
280	1	1	1	1	4
282.5	1	1	1	1	4
285	1	1	1	1	4
287.5	1	1	1	1	4
290	1	1	1	1	4
292.5	1	1	1	1	4
295	1	1	1	1	4
297.5	0	1	1	1	3
300	0	1	1	1	3
302.5	0	1	1	0	2
305	0	1	0	0	1
307.5	0	1	0	0	1
310	0	1	0	0	1
