depth	min95%	max95%	best	acc.rate
47	647	871	768	33.19
51	788	989	901	33.19
52	823	1019	934	33.19
53	858	1049	967	33.19
54	892	1079	1000	33.19
55	926	1109	1034	33.19
56	962	1141	1067	33.19
57	998	1171	1100	33.19
58	1033	1202	1133	33.19
59	1067	1232	1166	33.19
60	1101	1264	1200	33.19
61	1136	1296	1233	16.6
62	1153	1312	1249	33.19
63	1188	1345	1283	33.19
64	1224	1378	1316	33.19
65	1259	1412	1349	33.19
66	1291	1445	1382	33.19
67	1324	1479	1415	33.19
68	1357	1512	1449	33.19
69	1393	1546	1482	33.19
70	1429	1581	1515	33.19
71	1463	1616	1548	33.19
72	1497	1651	1581	33.19
73	1529	1686	1615	33.19
74	1562	1721	1648	33.19
75	1593	1757	1681	33.19
76	1625	1792	1714	33.19
77	1654	1826	1747	33.19
78	1685	1860	1780	33.19
79	1715	1896	1814	33.19
80	1747	1932	1847	33.19
81	1780	1967	1880	33.19
82	1810	2003	1913	33.19
83	1840	2040	1946	33.19
84	1870	2074	1980	33.19
85	1900	2109	2013	33.19
86	1930	2145	2046	33.19
87	1960	2182	2079	33.19
88	1990	2218	2112	33.19
89	2020	2253	2146	33.19
90	2050	2290	2179	33.19
91	2080	2327	2212	33.19
92	2110	2363	2245	33.19
93	2141	2401	2278	33.19
94	2170	2438	2312	33.19
95	2198	2476	2345	33.19
96	2227	2513	2378	33.19
97	2257	2551	2411	33.19
98	2287	2587	2444	33.19
99	2317	2625	2478	33.19
100	2348	2663	2511	33.19
101	2377	2701	2544	33.19
102	2408	2738	2577	33.19
103	2437	2775	2610	33.19
104	2467	2811	2643	33.19
105	2497	2849	2677	33.19
106	2526	2886	2710	33.19
107	2555	2923	2743	33.19
108	2585	2960	2776	33.19
109	2615	2997	2809	33.19
110	2643	3035	2843	33.19
111	2673	3073	2876	33.19
112	2702	3111	2909	33.19
113	2732	3148	2942	33.19
114	2761	3186	2975	33.19
115	2789	3222	3009	33.19
116	2817	3259	3042	33.19
117	2846	3296	3075	33.19
118	2875	3334	3108	33.19
119	2905	3373	3141	33.19
120	2935	3411	3175	33.19
121	2965	3447	3208	33.19
122	2993	3485	3241	33.19
123	3022	3522	3274	39.2
124	3065	3559	3313	39.2
125	3108	3595	3352	39.2
126	3150	3632	3392	39.2
127	3192	3668	3431	39.2
128	3234	3704	3470	39.2
129	3276	3740	3509	39.2
130	3317	3777	3548	39.2
131	3359	3814	3588	39.2
132	3401	3850	3627	39.2
133	3442	3887	3666	39.2
134	3483	3924	3705	39.2
135	3524	3959	3744	39.2
136	3565	3994	3784	39.2
137	3606	4029	3823	39.2
138	3648	4065	3862	39.2
139	3691	4101	3901	39.2
140	3733	4136	3940	39.2
141	3775	4172	3980	39.2
142	3816	4208	4019	39.2
143	3857	4244	4058	39.2
144	3900	4280	4097	39.2
145	3943	4316	4136	39.2
146	3986	4353	4176	39.2
147	4028	4390	4215	39.2
148	4071	4426	4254	39.2
149	4112	4463	4293	39.2
150	4153	4500	4332	39.2
151	4194	4537	4372	39.2
152	4236	4574	4411	39.2
153	4278	4611	4450	39.2
154	4320	4648	4489	39.2
155	4362	4685	4528	39.2
156	4403	4722	4568	39.2
157	4445	4759	4607	39.2
158	4487	4795	4646	39.2
159	4529	4832	4685	39.2
160	4570	4869	4724	39.2
161	4612	4907	4764	39.2
162	4654	4943	4803	39.2
163	4695	4980	4842	39.2
164	4737	5017	4881	39.2
165	4779	5054	4920	39.2
166	4821	5091	4960	39.2
167	4862	5128	4999	39.2
168	4904	5165	5038	39.2
169	4946	5202	5077	39.2
170	4987	5239	5116	39.2
171	5029	5275	5156	39.2
172	5071	5312	5195	39.2
173	5112	5349	5234	39.2
174	5152	5385	5273	39.2
175	5193	5421	5312	39.2
176	5235	5458	5352	39.2
177	5276	5496	5391	39.2
178	5317	5535	5430	39.2
179	5357	5572	5469	39.2
180	5399	5609	5508	39.2
181	5441	5647	5548	39.2
182	5481	5685	5587	39.2
183	5521	5722	5626	39.2
184	5560	5761	5665	39.2
185	5600	5800	5704	39.2
186	5639	5838	5744	39.2
187	5679	5877	5783	39.2
188	5719	5916	5822	39.2
189	5758	5955	5861	39.2
190	5797	5994	5900	39.2
191	5836	6032	5940	39.2
192	5876	6072	5979	39.2
193	5915	6111	6018	39.2
194	5955	6150	6057	39.2
195	5995	6189	6096	39.2
196	6033	6229	6136	39.2
197	6071	6269	6175	39.2
198	6110	6308	6214	39.2
199	6147	6348	6253	39.2
200	6186	6388	6292	39.2
201	6225	6427	6332	39.2
202	6264	6466	6371	39.2
203	6303	6506	6410	39.2
204	6341	6545	6449	39.2
205	6380	6585	6488	39.2
206	6418	6624	6528	39.2
207	6457	6664	6567	39.2
208	6493	6703	6606	39.2
209	6530	6743	6645	39.2
210	6569	6784	6684	6.93
211	6578	6789	6691	6.93
212	6585	6794	6698	6.93
213	6595	6798	6705	6.93
214	6602	6803	6712	6.93
215	6611	6809	6719	6.93
216	6619	6815	6726	6.93
217	6627	6820	6733	6.93
218	6635	6826	6740	6.93
219	6642	6832	6747	6.93
220	6651	6838	6754	6.93
221	6658	6842	6761	6.93
222	6666	6847	6768	6.93
223	6673	6854	6774	6.93
224	6680	6861	6781	6.93
225	6688	6869	6788	6.93
226	6696	6876	6795	6.93
227	6705	6882	6802	6.93
228	6712	6889	6809	6.93
229	6719	6897	6816	6.93
230	6727	6905	6823	6.93
231	6735	6912	6830	6.93
232	6743	6918	6837	6.93
233	6750	6924	6844	6.93
234	6760	6932	6851	6.93
235	6766	6941	6858	6.93
236	6775	6947	6865	6.93
237	6783	6955	6871	6.93
238	6791	6961	6878	6.93
239	6797	6968	6885	6.93
240	6804	6975	6892	6.93
241	6809	6982	6899	6.93
242	6815	6989	6906	6.93
243	6820	6996	6913	6.93
244	6825	7004	6920	6.93
245	6831	7011	6927	6.93
246	6836	7019	6934	6.93
247	6841	7026	6941	6.93
248	6848	7034	6948	6.93
249	6855	7042	6955	6.93
250	6861	7050	6962	6.93
251	6866	7059	6969	6.93
252	6870	7067	6975	6.93
253	6876	7076	6982	6.93
254	6881	7083	6989	6.93
255	6884	7090	6996	6.93
256	6887	7099	7003	6.93
257	6890	7107	7010	6.93
258	6896	7115	7017	6.93
259	6900	7124	7024	6.93
260	6904	7133	7031	6.93
261	6907	7142	7038	6.93
262	6909	7151	7045	6.93
263	6913	7160	7052	31.97
264	6949	7192	7084	31.97
265	6985	7221	7116	31.97
266	7020	7252	7148	31.97
267	7056	7284	7180	31.97
268	7091	7315	7212	31.97
269	7126	7346	7244	31.97
270	7161	7378	7276	31.97
271	7194	7409	7307	31.97
272	7228	7441	7339	31.97
273	7263	7472	7371	31.97
274	7295	7504	7403	31.97
275	7328	7536	7435	31.97
276	7362	7567	7467	31.97
277	7397	7599	7499	31.97
278	7429	7631	7531	31.97
279	7462	7663	7563	31.97
280	7494	7695	7595	31.97
281	7525	7726	7627	31.97
282	7556	7758	7659	31.97
283	7588	7791	7691	31.97
284	7619	7823	7723	31.97
285	7652	7855	7755	31.97
286	7683	7887	7787	31.97
287	7715	7919	7819	31.97
288	7747	7951	7851	31.97
289	7778	7983	7883	31.97
290	7810	8015	7915	31.97
