depth	min95%	max95%	best	acc.rate
0	-454	-264	-358	27.53
2	-396	-211	-303	27.53
4	-340	-158	-248	27.53
6	-283	-104	-193	27.53
8	-226	-51	-138	27.53
10	-170	3	-83	27.53
12	-114	58	-27	27.53
14	-58	111	28	27.53
16	-1	163	83	27.53
18	56	220	138	27.53
20	112	274	193	27.53
22	168	329	248	27.54
24	224	385	303	27.54
26	279	440	358	27.54
28	334	495	413	27.54
30	389	549	468	27.55
32	445	604	523	27.55
34	500	660	578	27.56
36	555	716	634	27.56
38	609	771	689	27.57
40	664	826	744	27.58
42	717	883	799	27.58
44	772	941	854	27.59
46	825	999	909	27.6
48	878	1054	965	27.61
50	932	1111	1020	27.62
52	988	1169	1075	27.63
54	1042	1227	1130	27.64
56	1093	1285	1185	27.65
58	1147	1343	1241	27.66
60	1201	1400	1296	27.67
62	1254	1459	1351	27.68
64	1307	1513	1407	27.69
66	1359	1568	1462	27.71
68	1411	1623	1518	27.72
70	1464	1678	1573	27.73
72	1520	1734	1629	27.75
74	1573	1792	1684	27.76
76	1626	1849	1740	27.78
78	1677	1904	1795	27.79
80	1730	1960	1851	27.81
82	1784	2017	1906	27.83
84	1834	2073	1962	27.84
86	1884	2131	2018	27.86
88	1936	2188	2073	27.88
90	1988	2244	2129	27.9
92	2041	2299	2185	27.92
94	2092	2355	2241	27.94
96	2143	2410	2297	27.96
98	2193	2465	2353	27.98
100	2244	2519	2409	27.98
102	2294	2574	2465	27.95
104	2344	2630	2521	27.9
106	2395	2685	2576	27.81
108	2448	2741	2632	27.7
110	2500	2795	2687	27.56
112	2548	2848	2742	27.39
114	2597	2905	2797	27.2
116	2647	2961	2851	26.97
118	2697	3016	2905	26.72
120	2747	3071	2958	26.44
122	2797	3127	3011	26.13
124	2847	3179	3063	25.8
126	2897	3233	3115	25.46
128	2946	3285	3165	25.13
130	2993	3338	3215	24.8
132	3040	3388	3265	24.48
134	3086	3437	3314	24.16
136	3135	3485	3362	23.85
138	3181	3532	3409	23.55
140	3228	3581	3456	23.25
142	3273	3628	3503	22.96
144	3317	3676	3548	22.68
146	3361	3724	3594	22.4
148	3405	3770	3638	22.13
150	3450	3817	3682	21.86
152	3493	3866	3726	21.6
154	3537	3910	3769	21.34
156	3581	3955	3812	21.09
158	3624	4001	3854	20.85
160	3666	4045	3895	20.61
162	3707	4087	3936	20.38
164	3748	4129	3977	20.15
166	3789	4168	4017	19.93
168	3829	4206	4057	19.72
170	3870	4245	4096	19.51
172	3909	4286	4135	19.31
174	3949	4327	4174	19.11
176	3991	4367	4212	18.92
178	4032	4405	4250	18.73
180	4069	4441	4287	18.56
182	4105	4479	4324	18.38
184	4144	4518	4361	18.22
186	4181	4556	4397	18.06
188	4217	4593	4433	17.9
190	4253	4630	4469	17.75
192	4291	4671	4504	17.61
194	4327	4711	4539	17.47
196	4365	4748	4574	17.34
198	4406	4784	4609	17.22
200	4444	4820	4643	17.1
202	4479	4861	4677	16.98
204	4516	4904	4711	16.88
206	4554	4946	4745	16.77
208	4590	4988	4779	16.68
210	4625	5030	4812	16.59
212	4661	5072	4845	16.5
214	4695	5114	4878	16.43
216	4730	5155	4911	16.35
218	4765	5193	4943	16.29
220	4799	5229	4976	16.23
222	4834	5265	5008	16.17
224	4871	5301	5041	16.13
226	4903	5337	5073	16.08
228	4934	5372	5105	16.05
230	4969	5408	5137	16.02
232	4998	5443	5169	15.99
234	5026	5478	5201	15.97
236	5055	5513	5233	15.96
238	5083	5549	5265	15.95
240	5113	5584	5297	NA
