depth	min95%	max95%	best	acc.rate
0	163	379	267	13.2
20	451	612	531	13.2
40	714	864	795	13.2
60	961	1127	1059	13.2
80	1157	1314	1244	5.34
100	1287	1466	1351	5.34
120	1539	1736	1615	15.85
140	1827	2054	1932	15.85
160	2097	2400	2249	15.85
180	2362	2762	2566	15.85
200	2629	3135	2883	15.85
220	2892	3507	3200	15.85
240	3574	4055	3820	33.18
260	4234	4699	4484	33.18
280	4811	5376	5147	33.18
300	5107	5657	5433	6.2
350	5551	5899	5744	6.2
400	5935	6184	6054	6.2
420	6187	6417	6295	20.82
440	6588	6815	6711	20.82
460	6936	7255	7128	20.82
480	7341	7652	7527	19.51
500	7767	8020	7917	19.51
520	8186	8392	8307	19.51
540	8590	8767	8697	19.51
560	8966	9148	9088	19.51
