depth	min95%	max95%	best	acc.rate
0	161	380	262	14.7
20	471	644	556	14.51
40	732	915	835	13.06
60	959	1141	1071	10.19
80	1146	1319	1239	6.63
100	1296	1482	1362	6.35
120	1423	1668	1512	8.91
140	1591	1907	1719	11.96
160	1830	2235	1990	15.41
180	2153	2640	2334	19.26
200	2570	3119	2759	23.51
220	3084	3639	3273	28.17
240	3631	4220	3872	31.19
260	4118	4781	4489	29.61
280	4505	5300	5030	23.42
300	4816	5707	5412	14.54
350	5377	6087	5799	3.57
400	5897	6242	6055	9.64
420	6197	6458	6310	16.23
440	6478	6796	6677	19.99
460	6790	7202	7081	19.8
480	7122	7590	7450	17.04
500	7464	7921	7778	16.05
520	7844	8237	8106	17.15
540	8298	8583	8476	20.33
560	8834	9011	8929	25.6
