depth	min95%	max95%	best	acc.rate
10	-13	207	97	30.91
20	310	499	407	30.91
30	628	799	716	30.91
40	939	1110	1025	30.91
50	1251	1421	1334	30.91
60	1559	1736	1643	30.91
70	1866	2051	1952	30.91
80	2171	2367	2261	30.91
90	2471	2692	2570	30.91
100	2879	3074	2968	40.83
110	3299	3469	3377	40.83
120	3716	3862	3785	40.83
130	4131	4268	4193	40.83
140	4543	4691	4602	40.83
150	4979	5138	5041	56.2
160	5533	5694	5603	56.2
170	6082	6254	6165	56.2
180	6626	6828	6727	56.2
190	7165	7408	7289	56.2
200	7700	7991	7850	56.2
210	8235	8577	8412	56.2
220	8671	9026	8855	16.38
230	8874	9159	9019	16.38
240	9066	9298	9183	16.38
250	9254	9439	9347	16.38
270	10481	10566	10519	354.36
280	11680	11745	11712	60.54
290	12274	12372	12318	60.54
300	12862	12997	12923	60.54
