depth	min95%	max95%	best	acc.rate
10	-17	220	102	29.79
20	308	495	400	29.79
30	611	791	698	29.86
40	907	1100	998	30.07
50	1200	1412	1300	30.41
60	1500	1727	1606	30.88
70	1808	2042	1917	31.49
80	2131	2358	2235	32.22
90	2462	2677	2561	33.09
100	2800	3010	2898	34.49
110	3161	3363	3253	36.91
120	3553	3755	3636	40.36
130	3984	4186	4059	44.83
140	4464	4672	4531	50.33
150	4998	5232	5063	56.71
160	5545	5838	5653	61.05
170	6100	6470	6271	62.13
180	6650	7088	6885	59.95
190	7170	7671	7462	54.51
200	7640	8194	7971	45.82
210	8017	8581	8378	33.88
220	8284	8918	8652	19.63
230	8468	9299	8814	14.32
240	8649	9657	8979	21.24
250	8974	10040	9267	40.38
270	10122	11062	10702	108.56
280	10894	11946	11733	95.25
290	11629	12940	12625	82.2
300	12349	13766	13395	71.03
