depth	min95%	max95%	best	acc.rate
0	4189	4636	4447	62.38
10	4849	5231	5071	62.38
20	5506	5839	5695	62.38
30	6160	6453	6319	62.38
40	6802	7070	6942	62.38
50	7433	7691	7566	62.38
60	8047	8318	8190	62.38
70	8648	8955	8814	62.38
80	9590	9883	9748	186.65
90	11515	11734	11615	186.65
100	12959	13228	13072	69.84
110	13562	13989	13771	69.84
120	14135	14813	14469	69.84
130	15195	15792	15491	113
140	16414	16830	16621	113
150	17592	17903	17751	113
160	18564	18897	18744	57.96
170	19158	19463	19323	57.96
180	19754	20040	19903	57.96
190	20338	20624	20483	57.96
200	20905	21216	21062	57.96
210	21451	21816	21642	57.96
220	22004	22418	22221	57.96
230	22545	23023	22801	57.96
240	23089	23634	23381	57.96
250	23599	24078	23856	46.31
260	24112	24513	24319	46.31
270	24607	24962	24782	46.31
280	25089	25427	25245	46.31
290	25550	25928	25708	46.31
300	25945	26367	26124	22.89
310	26195	26568	26353	22.89
320	26444	26768	26582	22.89
330	26685	26967	26811	22.89
340	26910	27186	27040	22.89
350	27125	27413	27269	22.89
360	27340	27645	27498	22.89
370	27551	27897	27727	172.99
380	29271	29745	29456	172.99
390	30878	31775	31186	172.99
400	31488	32321	31792	32.46
410	31826	32563	32117	32.46
420	32125	32801	32441	32.46
430	32414	33096	32766	32.46
440	32668	33455	33091	32.46
450	32902	33826	33399	32.46
460	33133	34240	33724	32.46
470	33330	34657	34048	32.46
480	33551	35077	34373	32.46
490	33777	35511	34698	32.46
500	33973	35937	35022	32.46
510	34169	36344	35347	32.46
520	34362	36760	35672	32.46
530	34543	37176	35996	32.46
540	34720	37600	36321	32.46
550	34897	38014	36646	32.46
560	35074	38434	36970	32.46
570	35252	38850	37295	32.46
580	35444	39273	37619	32.46
590	35655	39702	37944	32.46
600	35847	40131	38269	32.46
610	36035	40559	38593	32.46
620	36226	40978	38918	32.46
630	36421	41404	39243	32.46
640	36617	41834	39567	32.46
650	36810	42255	39892	32.46
660	36979	42670	40217	32.46
670	37160	43085	40541	32.46
680	37348	43501	40866	32.46
690	37536	43925	41191	32.46
700	37723	44349	41515	32.46
710	37911	44772	41840	32.46
720	38099	45196	42164	32.46
730	38290	45620	42489	NA
