"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
10	0	1	1	1	3
20	1	1	1	0	3
30	1	1	0	0	2
40	1	1	0	0	2
50	1	1	0	0	2
60	1	1	0	0	2
70	1	1	1	1	4
80	1	1	1	1	4
90	1	1	0	0	2
100	1	1	1	1	4
110	1	1	1	1	4
120	1	1	1	1	4
130	1	1	1	0	3
140	1	1	0	0	2
150	1	1	1	1	4
160	1	1	1	1	4
170	1	1	1	0	3
180	1	1	0	0	2
190	1	1	0	0	2
200	1	0	0	0	1
210	1	1	0	0	2
220	1	1	0	0	2
230	1	1	1	1	4
240	1	1	1	1	4
250	1	1	1	1	4
260	1	1	1	0	3
270	1	1	0	0	2
280	1	1	1	1	4
290	1	1	1	1	4
300	0	1	1	1	3
310	0	1	1	1	3
320	0	1	1	1	3
330	0	1	1	1	3
340	0	1	1	1	3
350	0	1	1	1	3
360	0	1	1	1	3
370	0	1	1	1	3
380	0	1	0	0	1
390	0	1	1	1	3
400	0	1	1	1	3
410	0	1	1	1	3
420	0	1	1	1	3
430	0	1	1	1	3
440	0	1	1	1	3
450	0	1	1	1	3
460	0	1	1	1	3
470	0	1	1	0	2
480	0	1	0	0	1
490	0	1	0	0	1
500	0	1	0	0	1
510	0	0	0	0	0
520	0	0	0	0	0
530	0	0	0	0	0
540	0	0	0	0	0
550	0	0	0	0	0
560	0	0	0	0	0
570	0	0	0	0	0
580	0	0	0	0	0
590	0	0	0	0	0
600	0	0	0	0	0
610	0	0	0	0	0
620	0	0	0	0	0
630	0	0	0	0	0
640	0	0	0	0	0
650	0	0	0	0	0
660	0	0	0	0	0
670	0	0	0	0	0
680	0	0	0	0	0
690	0	0	0	0	0
700	0	0	0	0	0
710	0	0	0	0	0
720	0	0	0	0	0
730	0	0	0	0	0
