depth	min95%	max95%	best	acc.rate
5	1725	3090	2424	44.24
10	1991	3268	2645	44.24
20	2531	3615	3088	44.24
30	3076	3968	3530	44.24
40	3627	4324	3973	44.24
50	4122	4666	4393	44.24
60	4629	5040	4835	44.24
70	5112	5477	5278	44.24
80	5535	5971	5720	44.24
90	5775	6197	5956	16.74
100	5954	6339	6124	16.74
110	6124	6489	6291	16.74
120	6281	6641	6458	16.74
130	6435	6807	6626	16.74
140	6574	6973	6793	16.74
150	6714	7154	6961	16.74
160	6837	7343	7128	16.74
170	6972	7529	7295	16.74
180	7114	7655	7428	12.17
190	7258	7772	7550	12.17
200	7396	7887	7672	12.17
210	7538	7999	7794	12.17
220	7681	8119	7915	12.17
230	7824	8243	8037	12.17
240	7951	8372	8159	12.17
250	8077	8501	8281	12.17
260	8192	8640	8402	12.17
270	8304	8772	8524	12.17
280	8416	8910	8646	12.17
290	8522	9055	8768	12.17
300	8621	9204	8889	12.17
310	8714	9341	9005	12.17
320	8811	9486	9127	NA
