"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
50	0	1	1	1	3
100	0	1	1	1	3
150	0	1	1	1	3
200	0	1	1	1	3
250	0	1	1	1	3
300	0	1	1	1	3
350	0	1	1	1	3
400	0	1	1	1	3
450	0	1	1	1	3
500	0	1	1	1	3
550	0	1	1	1	3
600	0	1	1	1	3
650	0	1	1	1	3
700	0	1	1	1	3
750	0	1	1	1	3
800	0	1	1	1	3
850	0	1	1	1	3
900	0	1	1	1	3
950	0	1	1	1	3
1000	0	1	1	1	3
1050	0	1	1	1	3
1100	0	1	1	1	3
1150	0	1	1	1	3
1200	0	1	1	1	3
1250	0	1	1	1	3
1300	0	1	1	1	3
1350	0	1	1	1	3
1400	0	1	1	1	3
1450	0	1	1	1	3
1500	0	1	1	1	3
1550	0	1	1	1	3
1600	0	1	1	1	3
1650	0	1	1	1	3
1700	0	1	1	1	3
1750	0	1	1	1	3
1800	0	1	1	1	3
1850	0	1	1	1	3
1900	0	1	1	1	3
1950	0	1	1	1	3
2000	0	1	1	1	3
2050	0	1	1	1	3
2100	0	1	1	1	3
2150	0	1	1	1	3
2200	0	1	1	1	3
2250	0	1	1	1	3
2300	0	1	1	1	3
2350	0	1	1	1	3
2400	0	1	1	1	3
2450	0	1	1	1	3
2500	0	1	1	1	3
2550	0	1	1	1	3
2600	0	1	1	1	3
2650	0	1	1	1	3
2700	0	1	1	1	3
2750	0	1	1	1	3
2800	0	1	1	1	3
2850	0	1	1	1	3
2900	0	1	1	1	3
2950	0	1	1	1	3
3000	0	1	1	1	3
3050	0	1	1	1	3
3100	0	1	1	1	3
3150	0	1	1	1	3
3200	0	1	1	1	3
3250	0	1	1	1	3
3300	0	1	1	1	3
3350	0	1	1	1	3
3400	0	1	1	1	3
3450	0	1	1	1	3
3500	0	1	1	1	3
3550	0	1	1	1	3
3600	0	1	1	1	3
3650	0	1	1	1	3
3700	0	1	1	1	3
3750	0	1	1	1	3
3800	0	1	1	1	3
3850	0	1	1	1	3
3900	0	1	1	1	3
3950	0	1	1	1	3
4000	0	1	1	1	3
4050	0	1	1	1	3
4100	0	1	1	1	3
4150	0	1	1	1	3
4200	0	1	1	1	3
4250	0	1	1	1	3
4300	0	1	1	1	3
4350	0	1	1	1	3
4400	0	1	1	1	3
4450	0	1	1	1	3
4500	0	1	1	1	3
4550	0	1	1	1	3
4600	0	1	1	1	3
4650	0	1	1	1	3
4700	0	1	1	1	3
4750	0	1	1	1	3
4800	0	1	1	1	3
4850	0	1	1	1	3
4900	0	1	1	1	3
4950	0	1	1	1	3
5000	0	1	1	1	3
5050	0	1	1	1	3
5100	0	1	1	1	3
5150	0	1	1	1	3
5200	0	1	1	1	3
5250	0	1	1	1	3
5300	0	1	1	1	3
5350	0	1	1	1	3
5400	0	1	1	1	3
5450	0	1	1	1	3
5500	0	1	1	1	3
5550	0	1	1	1	3
5600	0	1	1	1	3
5650	0	1	1	1	3
5700	0	1	1	1	3
5750	0	1	1	1	3
5800	0	1	1	1	3
5850	0	1	1	1	3
5900	0	1	1	1	3
5950	0	1	1	1	3
6000	0	1	1	1	3
6050	0	1	1	1	3
6100	0	1	1	1	3
6150	0	1	1	1	3
6200	0	1	1	1	3
6250	0	1	1	1	3
6300	0	1	1	1	3
6350	0	1	1	1	3
6400	0	1	1	1	3
6450	0	1	1	1	3
6500	1	1	1	1	4
6550	1	1	1	1	4
6600	1	1	1	1	4
6650	1	1	1	1	4
6700	1	1	1	1	4
6750	1	1	1	1	4
6800	1	1	1	1	4
6850	1	1	1	1	4
6900	1	1	1	1	4
6950	1	1	1	1	4
7000	1	1	1	1	4
7050	1	1	1	1	4
7100	1	1	1	1	4
7150	1	1	1	1	4
7200	1	1	1	1	4
7250	1	1	1	1	4
7300	1	1	1	1	4
7350	1	1	1	1	4
