depth	min95%	max95%	best	acc.rate
50	-3398	7	-1592	0.3
100	-3370	10	-1577	0.3
150	-3341	13	-1562	0.3
200	-3312	17	-1547	0.3
250	-3283	20	-1532	0.3
300	-3254	24	-1517	0.3
350	-3225	27	-1502	0.3
400	-3196	30	-1487	0.3
450	-3167	34	-1472	0.3
500	-3138	37	-1457	0.3
550	-3109	40	-1442	0.3
600	-3080	43	-1427	0.3
650	-3051	47	-1412	0.3
700	-3023	50	-1397	0.3
750	-2994	54	-1382	0.3
800	-2965	57	-1367	0.3
850	-2936	61	-1352	0.3
900	-2907	64	-1337	0.3
950	-2878	68	-1322	0.3
1000	-2848	71	-1307	0.3
1050	-2819	75	-1292	0.3
1100	-2790	78	-1277	0.3
1150	-2761	81	-1262	0.3
1200	-2732	83	-1247	0.3
1250	-2703	85	-1232	0.3
1300	-2674	88	-1217	0.3
1350	-2645	90	-1202	0.3
1400	-2616	92	-1187	0.3
1450	-2587	94	-1172	0.3
1500	-2558	96	-1157	0.3
1550	-2529	99	-1142	0.3
1600	-2500	101	-1127	0.3
1650	-2471	103	-1112	0.3
1700	-2441	105	-1097	0.3
1750	-2412	107	-1082	0.3
1800	-2383	110	-1067	0.3
1850	-2354	112	-1052	0.3
1900	-2325	114	-1037	0.3
1950	-2296	116	-1022	0.3
2000	-2267	119	-1007	0.3
2050	-2238	121	-992	0.3
2100	-2209	123	-977	0.3
2150	-2180	125	-962	0.3
2200	-2151	127	-947	0.3
2250	-2122	130	-932	0.3
2300	-2093	132	-917	0.3
2350	-2064	134	-902	0.3
2400	-2034	136	-887	0.3
2450	-2005	138	-872	0.3
2500	-1976	141	-857	0.3
2550	-1947	144	-842	0.3
2600	-1918	147	-827	0.3
2650	-1889	149	-812	0.3
2700	-1860	151	-797	0.3
2750	-1831	154	-782	0.3
2800	-1802	156	-767	0.3
2850	-1773	158	-753	0.3
2900	-1744	160	-738	0.3
2950	-1715	163	-723	0.3
3000	-1686	165	-708	0.3
3050	-1657	167	-693	0.3
3100	-1627	170	-678	0.3
3150	-1598	173	-663	0.3
3200	-1569	175	-648	0.3
3250	-1540	177	-633	0.3
3300	-1511	180	-618	0.3
3350	-1482	183	-603	0.3
3400	-1453	186	-588	0.3
3450	-1424	189	-573	0.3
3500	-1395	192	-558	0.3
3550	-1366	195	-543	0.3
3600	-1337	198	-528	0.3
3650	-1308	201	-513	0.3
3700	-1278	204	-498	0.3
3750	-1249	206	-483	0.3
3800	-1220	209	-468	0.3
3850	-1191	212	-453	0.3
3900	-1162	215	-438	0.3
3950	-1133	218	-423	0.3
4000	-1104	221	-408	0.3
4050	-1074	224	-393	0.3
4100	-1045	227	-378	0.3
4150	-1016	232	-363	0.3
4200	-987	236	-348	0.3
4250	-958	240	-333	0.3
4300	-929	244	-318	0.3
4350	-900	248	-303	0.3
4400	-871	252	-288	0.3
4450	-841	256	-273	0.3
4500	-812	260	-258	0.3
4550	-783	264	-243	0.3
4600	-754	268	-228	0.3
4650	-725	270	-213	0.3
4700	-696	274	-198	0.3
4750	-667	279	-183	0.3
4800	-638	283	-168	0.3
4850	-608	287	-153	0.3
4900	-579	289	-138	0.3
4950	-550	291	-123	0.3
5000	-520	293	-108	0.3
5050	-492	295	-93	0.3
5100	-463	297	-78	0.3
