depth	min95%	max95%	best	acc.rate
50	-280	-82	-177	0.07
100	-275	-81	-174	0.07
150	-269	-79	-171	0.07
200	-264	-78	-167	0.07
250	-259	-76	-164	0.07
300	-253	-74	-161	0.07
350	-248	-73	-157	0.07
400	-243	-71	-154	0.07
450	-237	-70	-151	0.07
500	-232	-69	-147	0.07
550	-227	-67	-144	0.07
600	-221	-66	-141	0.07
650	-216	-65	-138	0.07
700	-211	-63	-134	0.07
750	-205	-62	-131	0.07
800	-200	-60	-128	0.07
850	-194	-59	-124	0.07
900	-189	-57	-121	0.07
950	-184	-56	-118	0.07
1000	-178	-55	-114	0.07
1050	-173	-53	-111	0.07
1100	-167	-52	-108	0.07
1150	-162	-50	-104	0.07
1200	-157	-49	-101	0.07
1250	-151	-47	-98	0.07
1300	-146	-46	-94	0.07
1350	-141	-44	-91	0.07
1400	-135	-42	-88	0.07
1450	-130	-41	-85	0.07
1500	-124	-39	-81	0.07
1550	-119	-38	-78	0.07
1600	-113	-37	-75	0.07
1650	-108	-35	-71	0.07
1700	-103	-34	-68	0.07
1750	-98	-32	-65	0.07
1800	-93	-31	-61	0.07
1850	-87	-29	-58	0.07
1900	-82	-27	-55	0.07
1950	-77	-25	-51	0.07
2000	-72	-24	-48	0.07
2050	-66	-22	-45	0.07
2100	-61	-21	-42	0.07
2150	-57	-19	-38	0.07
2200	-52	-17	-35	0.07
2250	-47	-16	-32	0.07
2300	-42	-14	-28	0.07
2350	-37	-12	-25	0.07
2400	-33	-10	-22	0.07
2450	-28	-7	-18	0.07
2500	-24	-5	-15	0.07
2550	-21	-2	-12	0.07
2600	-18	1	-8	0.07
2650	-16	5	-5	0.07
2700	-13	10	-2	0.07
2750	-11	14	1	0.06
2800	-8	19	5	0.06
2850	-7	23	8	0.06
2900	-5	28	11	0.06
2950	-3	32	14	0.06
3000	-1	36	17	0.06
3050	1	40	20	0.06
3100	3	44	23	0.06
3150	5	48	26	0.05
3200	6	52	28	0.05
3250	8	56	31	0.05
3300	10	59	33	0.05
3350	12	62	36	0.05
3400	14	64	38	0.04
3450	16	67	40	0.04
3500	18	69	42	0.04
3550	20	70	44	0.04
3600	22	72	46	0.03
3650	24	72	47	0.03
3700	26	73	49	0.03
3750	28	73	50	0.02
3800	30	72	51	0.02
3850	32	71	52	0.01
3900	35	70	52	0.01
3950	37	68	53	0.01
4000	39	66	53	0
4050	41	63	53	0
4100	42	61	53	-0.01
4150	43	61	52	-0.01
4200	40	62	51	-0.02
4250	37	64	51	-0.02
4300	32	66	49	-0.02
4350	26	69	48	-0.03
4400	20	72	47	-0.03
4450	13	75	46	-0.03
4500	6	77	44	-0.03
4550	0	80	43	-0.03
4600	-8	84	41	-0.03
4650	-14	88	40	-0.03
4700	-21	91	39	-0.02
4750	-28	95	37	-0.02
4800	-35	99	36	-0.02
4850	-42	103	36	-0.01
4900	-48	108	35	-0.01
4950	-54	112	35	0
5000	-59	116	35	0
5050	-64	120	35	0.01
5100	-68	125	35	0.02
5150	-71	130	36	0.02
5200	-74	135	38	0.03
5250	-75	139	40	0.04
5300	-75	144	42	0.05
5350	-75	149	45	0.06
5400	-74	155	48	0.07
5450	-71	161	52	0.09
5500	-68	167	57	0.1
5550	-63	172	62	0.11
5600	-56	178	68	0.13
5650	-49	185	75	0.14
5700	-40	190	82	0.16
5750	-30	196	90	0.17
5800	-18	203	99	0.19
