ID,C14_age,cal_BP,error,reservoir,depth,thickness,RCode
5780,18920,,250,,1020,,C14
5781,19250,,190,,1335,,C14
5782,23600,,190,,1514,,C14
5783,,23200,3600,,1565,,TEF
5784,24100,,200,,1572,,C14
5785,24000,,800,,1622,,C14
5786,23900,,190,,1709,,C14
5787,32600,,410,,1770,,C14
5788,31500,,480,,1837,,C14
5789,,36200,590,,2165,,TEF
5790,36300,,590,,2278,,C14
5791,,46100,2800,,3375,,TEF
5792,,50500,2700,,4030,,TEF
5793,,64900,5100,,4720,,TEF
5794,,66300,4700,,5115,,TEF
5795,,73400,8800,,5625,,TEF
5796,,77700,4400,,6175,,TEF
5797,,92100,3500,,7210,,TEF
5798,,98000,6500,,7855,,TEF
5799,,136000,12000,,8510,,TEF
5800,,138900,7200,,9020,,TEF
