depth	min95%	max95%	best	acc.rate
0	-627	-555	-596	283.65
1	-331	-283	-312	283.65
2	-36	-11	-29	283.65
3	238	280	255	283.65
4	509	570	539	283.65
5	782	862	822	283.65
6	1050	1155	1106	283.65
7	1319	1451	1390	283.65
8	1588	1747	1673	283.65
9	1856	2043	1957	283.65
10	2126	2338	2241	204.05
11	2345	2537	2445	204.05
12	2558	2737	2649	204.05
13	2763	2941	2853	204.05
14	2961	3145	3057	204.05
15	3154	3360	3261	204.05
16	3343	3587	3465	204.05
17	3536	3820	3669	204.05
18	3723	4046	3873	361.25
19	4106	4376	4234	361.25
20	4482	4709	4596	361.25
21	4856	5056	4957	361.25
22	5227	5424	5318	361.25
23	5589	5797	5679	361.25
24	5934	6175	6041	104.62
25	6047	6263	6145	104.62
26	6152	6359	6250	104.62
27	6256	6466	6354	104.62
28	6355	6578	6459	104.62
29	6456	6705	6564	104.62
30	6547	6840	6668	104.62
31	6639	6971	6773	104.62
32	6727	7099	6878	104.62
33	6812	7231	6982	104.62
34	6894	7360	7087	104.62
35	6969	7496	7191	NA
