depth	min95%	max95%	best	acc.rate
44	-2225	-1644	-1895	43.56
165	3269	3469	3375	43.56
257	3892	4167	4030	28.02
367	10704	11102	10882	37.88
487	24893	25460	25153	47.12
617	25268	25919	25599	15.07
737	27049	27740	27406	15.02
857	25938	26697	26259	18.3
977	28082	28915	28455	18.3
1095	30921	32389	31668	28.73
1217	30681	31370	31001	13.72
1336	32135	33115	32633	13.72
1457	33404	34767	34127	5
1577	34201	35258	34727	5
1696	34601	36158	35323	5
1817	35535	37026	36265	7.83
1937	36118	38378	37204	7.83
2057	36244	38175	37153	-2.61
2177	35789	38005	36840	-2.61
2297	35890	37967	36877	2.19
2417	36177	38118	37141	2.19
2537	36410	38839	37607	17.84
2668	38947	41044	39944	17.84
2777	40641	43497	41889	17.84
2895	40685	43327	41819	-12.81
3017	39159	41360	40256	-12.81
3140	37540	40466	39084	23.85
3262	40629	43958	41994	23.85
3377	42232	47133	44133	-13.86
3494	41237	43931	42511	-13.86
3617	42096	44860	43305	11.38
3738	42914	47665	44650	7.88
3857	43871	47747	45588	7.88
3977	44156	48838	46533	7.88
4100	45143	49375	47273	4.66
4217	45367	49693	47818	4.66
4339	45908	49418	47742	-1.15
4457	45274	49626	47606	-1.15
4577	45089	49175	47060	-5.64
4695	44582	49002	46666	-1.58
4817	44663	48678	46473	-1.58
4937	43756	49370	46323	2.87
5057	44789	48839	46667	2.87
5177	44775	49246	47012	2.87
5296	45856	50961	48391	18.36
5417	48055	53199	50613	18.36
5537	50060	55523	52817	18.36
5657	51944	58006	55021	18.36
5777	53771	60499	57224	18.36
5896	55383	63166	59410	18.36
6017	57158	65861	61632	18.36
6077	57999	67187	62733	18.36
6137	58798	68576	63835	18.36
6197	59615	70062	64937	18.36
6257	60502	71505	66039	18.36
6317	61313	72876	67141	18.36
6377	62078	74264	68242	18.36
6440	62973	75681	69399	18.36
6500	63825	77000	70501	18.36
6557	64614	78292	71548	18.36
6617	65339	79708	72650	18.36
6677	66067	81100	73752	18.36
6736	66783	82474	74835	18.36
6796	67571	83793	75937	18.36
6867	68504	85439	77241	18.36
6927	69216	86850	78342	18.36
6987	69927	88202	79444	18.36
7040	70555	89457	80417	18.36
7100	73290	90771	82406	36.47
7154	75832	92114	84376	36.47
7208	78531	93517	86345	36.47
7287	81870	96280	89226	36.47
7331	83712	97839	90831	36.47
7391	85695	100067	93019	36.47
7434	87001	101932	94587	36.47
7527	89961	105874	97979	36.47
7587	91250	108788	100167	36.47
7636	92204	111183	101954	36.47
7696	93371	113787	103945	14.62
7747	94639	114294	104691	14.62
7827	96522	114946	105860	14.62
7877	97742	115427	106591	14.62
7940	99131	115993	107512	14.62
7971	99686	116314	107965	14.62
8001	100264	116556	108404	14.62
8030	100919	116905	108828	14.62
8052	101359	117093	109149	14.62
8096	102208	117566	109793	14.62
8127	102895	117834	110246	14.62
8157	103397	118175	110684	14.62
8187	104002	118472	111123	14.62
8215	104608	118634	111532	14.62
8242	105112	118788	111927	14.62
8272	105712	119154	112365	14.62
8302	106315	119440	112804	14.62
8367	107406	120270	113754	14.62
8397	107948	120656	114192	14.62
8427	108439	121047	114631	14.62
8452	108923	121307	114996	14.62
8477	109252	121519	115362	14.62
8510	109793	121902	115844	14.62
8547	110365	122364	116385	14.62
8667	112143	124348	118139	14.62
8697	112617	124694	118578	14.62
8727	113104	124910	119016	14.62
8752	113405	125331	119382	14.62
8757	113456	125427	119455	14.62
8762	113505	125522	119528	14.62
8767	113564	125617	119601	14.62
8772	113640	125712	119674	14.62
8777	113715	125807	119747	14.62
8782	113753	125902	119820	14.62
8787	113783	125995	119893	14.62
8810	113981	126378	120230	14.62
8850	114380	127038	120814	14.62
8879	114718	127489	121238	14.62
8907	115067	128033	121648	14.62
8937	115394	128680	122086	14.62
8967	115686	129250	122525	14.62
8997	116022	129789	122963	14.62
9027	116360	130204	123402	14.62
9057	116765	130761	123840	14.62
9087	117135	131247	124279	14.62
9117	117397	131868	124717	14.62
9147	117716	132505	125156	112.17
9177	121303	135067	128521	112.17
9207	124319	139307	131886	112.17
9227	125770	142790	134129	112.17
9271	127877	150144	139065	112.17
9299	128797	155072	142205	112.17
9327	129608	160471	145346	112.17
9352	130652	165602	148150	112.17
9377	131296	170445	150955	NA
