ID,C14_age,cal_BP,error,reservoir,depth,thickness,RCode
1033,1379,,51,,116,,C14
1034,3400,,40,,170,,C14
1,3400,,40,,170,,C14
1035,2430,,38,,201,,C14
1036,4334,,54,,287,,C14
1037,8889,,67,,342,,C14
1038,10031,,71,,383,,C14
1039,8685,,69,,384,,C14
1040,19010,,150,,438,,C14
1041,22020,,170,,510,,C14
1042,23700,,260,,544,,C14
1043,23340,,300,,544,,C14
2,28254,,284,,544,,C14
3,27874,,330,,544,,C14
1044,23840,,200,,547,,C14
1045,20720,,150,,571,,C14
1046,22510,,160,,695,,C14
1047,24930,,230,,840,,C14
1048,21850,,210,,847,,C14
4,26301,,234,,847,,C14
1049,24760,,200,,994,,C14
1050,28640,,350,,1128,,C14
1051,27360,,320,,1147,,C14
1052,24780,,280,,1147,,C14
5,32213,,268,,1147,,C14
6,29607,,548,,1147,,C14
1053,29940,,420,,1438,,C14
1054,31440,,450,,1698,,C14
1055,33160,,550,,1962,,C14
1056,32580,,520,,2224,,C14
1057,33170,,590,,2524,,C14
1058,38500,,1100,,2824,,C14
1059,34330,,620,,3129,,C14
1060,40300,,1500,,3361,,C14
1061,37900,,950,,3518,,C14
1062,40700,,1400,,3729,,C14
1063,43300,,2100,,4029,,C14
1064,45100,,2500,,4228,,C14
1065,44200,,2100,,4486,,C14
1066,43000,,1800,,4628,,C14
1067,42500,,1800,,4928,,C14
1068,43600,,2000,,5229,,C14
7,,81000,5000,,7051,,ORBT
8,,104000,5000,,7687,,ORBT
9,,125000,4000,,9147,,ORBT
10,,151000,10000,,9377,,TEF
