depth	min95%	max95%	best	acc.rate
44	-1766	-207	-651	23.18
165	1595	2640	2167	23.96
257	4313	5984	4921	40.39
367	10691	12948	11474	78.77
487	20719	22807	21722	76.16
617	27052	28609	27846	19.9
737	27961	29669	28673	-1.14
857	27727	29482	28415	-0.11
977	28363	29585	28867	7.26
1095	29404	30560	29991	11
1217	30708	31957	31363	11.38
1336	32074	33207	32690	10.72
1457	33276	34313	33885	8.82
1577	34303	35314	34824	6.93
1696	35086	36153	35570	5.7
1817	35572	36803	36195	4.53
1937	35891	37314	36645	2.86
2057	36123	37637	36885	1.36
2177	36306	37887	37037	1.46
2297	36582	38286	37293	2.95
2417	36973	38954	37756	4.83
2537	37356	39675	38462	6.99
2668	37819	40622	39446	7.48
2777	38259	41254	40167	5.35
2895	38600	41886	40564	1.55
3017	39022	42279	40659	0.57
3140	39712	42524	40849	3.11
3262	40344	42767	41405	5.62
3377	41087	43140	42078	5.76
3494	41952	43813	42756	6.09
3617	42863	44618	43586	7.34
3738	43691	45571	44515	7.89
3857	44493	46519	45446	7.62
3977	45232	47463	46301	6.47
4100	45786	48179	46980	4.46
4217	46100	48642	47369	2.1
4339	46230	48791	47475	-0.27
4457	46153	48718	47345	-1.83
4577	45893	48453	47070	-2.56
4695	45586	48211	46779	-2.24
4817	45361	48088	46560	-1.22
4937	45194	48163	46504	0.4
5057	45173	48527	46669	2.39
5177	45351	49132	47082	4.53
5296	45724	50067	47753	6.77
5417	46319	51437	48706	8.98
5537	47134	53175	49909	11.07
5657	48160	55057	51358	13.08
5777	49464	57182	53042	14.98
5896	50989	59540	54932	16.79
6017	52799	62097	57068	18.52
6077	53758	63400	58204	19.35
6137	54813	64865	59389	20.15
6197	55915	66420	60621	20.93
6257	57058	67894	61899	21.69
6317	58266	69314	63222	22.42
6377	59579	70941	64588	23.13
6440	61008	72673	66068	23.85
6500	62373	74390	67519	24.51
6557	63797	76047	68933	25.12
6617	65382	77737	70458	25.73
6677	67004	79453	72020	26.33
6736	68547	81141	73589	26.89
6796	70006	82903	75219	27.43
6867	71918	84912	77188	28.05
6927	73501	86628	78886	28.55
6987	74936	88213	80613	29.02
7040	76279	89549	82161	29.42
7100	77861	91120	83938	29.79
7154	79260	92491	85552	29.97
7208	80528	93859	87172	30
7287	82542	95980	89536	29.78
7331	83639	97227	90841	29.51
7391	85006	98667	92597	29
7434	86017	99807	93834	28.51
7527	88074	102173	96426	27.14
7587	89277	103647	98022	26.01
7636	90298	104807	99272	24.96
7696	91494	106101	100727	23.51
7747	92502	107174	101895	22.29
7827	93787	109159	103611	20.62
7877	94658	110387	104619	19.72
7940	95826	111898	105831	18.75
7971	96411	112651	106406	18.33
8001	96906	113357	106951	17.97
8030	97392	113993	107467	17.66
8052	97762	114604	107854	17.45
8096	98511	115604	108614	17.1
8127	99026	116223	109140	16.9
8157	99536	116971	109645	16.74
8187	100128	117604	110146	16.63
8215	100807	118356	110610	16.56
8242	101283	118913	111057	16.53
8272	101780	119519	111553	16.53
8302	102299	120145	112049	16.57
8367	103743	121517	113133	16.8
8397	104372	122140	113639	16.97
8427	105001	122793	114151	17.17
8452	105547	123335	114582	17.38
8477	106107	123836	115020	17.61
8510	106870	124835	115606	17.96
8547	107763	125577	116278	18.4
8667	110906	128254	118592	20.28
8697	111797	128902	119208	20.84
8727	112685	129818	119842	21.45
8752	113493	130517	120385	21.99
8757	113662	130653	120495	22.1
8762	113828	130801	120606	22.21
8767	113986	130949	120717	22.33
8772	114145	131098	120829	22.44
8777	114301	131248	120941	22.55
8782	114449	131397	121054	22.67
8787	114609	131530	121168	22.79
8810	115374	132118	121698	23.34
8850	116741	133161	122652	24.36
8879	117659	134185	123369	25.15
8907	118574	135270	124084	25.94
8937	119603	136277	124875	26.83
8967	120644	137140	125693	27.76
8997	121472	137736	126540	28.73
9027	122269	138511	127416	29.73
9057	122909	139775	128323	30.78
9087	123369	141062	129262	31.87
9117	123856	142161	130235	33
9147	124496	142879	131242	34.17
9177	124914	143797	132283	35.28
9207	125359	145008	133356	36.23
9227	125703	145656	134085	36.78
9271	126400	147063	135726	37.74
9299	126841	148157	136789	38.18
9327	127173	149417	137862	38.48
9352	127594	150340	138826	38.64
9377	127962	151226	139793	NA
