"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
44	0	0	0	0	0
165	0	1	1	1	3
257	0	1	1	1	3
367	0	1	1	1	3
487	0	1	0	0	1
617	1	1	1	1	4
737	1	1	1	1	4
857	1	1	1	1	4
977	1	1	1	1	4
1095	1	1	1	1	4
1217	1	1	1	0	3
1336	1	1	1	1	4
1457	1	1	1	1	4
1577	1	1	1	1	4
1696	1	1	1	1	4
1817	1	1	1	1	4
1937	1	1	1	1	4
2057	1	1	1	1	4
2177	1	1	1	1	4
2297	1	1	1	1	4
2417	1	1	1	1	4
2537	0	1	1	1	3
2668	0	0	0	0	0
2777	0	1	0	0	1
2895	0	1	1	1	3
3017	0	1	1	1	3
3140	0	1	1	1	3
3262	0	1	1	1	3
3377	0	1	1	1	3
3494	0	1	1	1	3
3617	0	1	1	1	3
3738	1	1	1	1	4
3857	1	1	1	1	4
3977	1	1	1	1	4
4100	1	1	1	1	4
4217	1	1	1	1	4
4339	1	1	0	0	2
4457	1	1	1	1	4
4577	1	1	1	1	4
4695	1	1	1	0	3
4817	1	1	0	0	2
4937	1	1	1	1	4
5057	1	1	0	0	2
5177	1	1	1	1	4
5296	1	1	1	0	3
5417	1	0	0	0	1
5537	1	0	0	0	1
5657	1	0	0	0	1
5777	1	0	0	0	1
5896	1	0	0	0	1
6017	1	0	0	0	1
6077	1	0	0	0	1
6137	1	0	0	0	1
6197	1	0	0	0	1
6257	1	0	0	0	1
6317	1	0	0	0	1
6377	1	0	0	0	1
6440	1	0	0	0	1
6500	1	0	0	0	1
6557	1	0	0	0	1
6617	1	0	0	0	1
6677	1	0	0	0	1
6736	1	0	0	0	1
6796	1	0	0	0	1
6867	1	0	0	0	1
6927	1	1	0	0	2
6987	1	1	1	1	4
7040	1	1	1	1	4
7100	0	1	0	0	1
7154	0	0	0	0	0
7208	0	0	0	0	0
7287	0	0	0	0	0
7331	0	0	0	0	0
7391	0	0	0	0	0
7434	0	0	0	0	0
7527	0	0	0	0	0
7587	0	0	0	0	0
7636	0	1	0	0	1
7696	0	1	1	1	3
7747	0	1	1	0	2
7827	0	1	0	0	1
7877	0	0	0	0	0
7940	0	0	0	0	0
7971	0	0	0	0	0
8001	0	0	0	0	0
8030	0	0	0	0	0
8052	0	0	0	0	0
8096	0	0	0	0	0
8127	0	0	0	0	0
8157	0	0	0	0	0
8187	0	0	0	0	0
8215	0	0	0	0	0
8242	0	0	0	0	0
8272	0	0	0	0	0
8302	0	0	0	0	0
8367	0	0	0	0	0
8397	0	0	0	0	0
8427	0	0	0	0	0
8452	0	0	0	0	0
8477	0	0	0	0	0
8510	0	0	0	0	0
8547	0	0	0	0	0
8667	0	0	0	0	0
8697	0	0	0	0	0
8727	0	0	0	0	0
8752	0	0	0	0	0
8757	0	0	0	0	0
8762	0	0	0	0	0
8767	0	0	0	0	0
8772	0	0	0	0	0
8777	0	0	0	0	0
8782	0	0	0	0	0
8787	0	0	0	0	0
8810	0	0	0	0	0
8850	0	0	0	0	0
8879	0	0	0	0	0
8907	0	0	0	0	0
8937	0	0	0	0	0
8967	0	0	0	0	0
8997	0	0	0	0	0
9027	0	1	0	0	1
9057	0	1	0	0	1
9087	0	1	1	1	3
9117	0	1	1	1	3
9147	0	1	1	1	3
9177	0	0	0	0	0
9207	0	0	0	0	0
9227	0	0	0	0	0
9271	0	0	0	0	0
9299	0	0	0	0	0
9327	0	0	0	0	0
9352	0	0	0	0	0
9377	0	1	0	0	1
