ID,C14_age,cal_BP,error,reservoir,depth,thickness,RCode
1064,3400,,40,,170,0,C14
1065,23700,,260,,544,0,C14
1066,23340,,300,,544,0,C14
1067,21850,,210,,847,0,C14
1068,27360,,320,,1147,0,C14
1069,24780,,280,,1147,0,C14
1033,1379,,51,,116,NA,C14
1034,2430,,38,,201,NA,C14
1035,4334,,54,,287,NA,C14
1036,8889,,67,,342,NA,C14
1037,10031,,71,,383,NA,C14
1038,8685,,69,,384,NA,C14
1039,19010,,150,,438,NA,C14
1040,22020,,170,,510,NA,C14
1041,23840,,200,,547,NA,C14
1042,20720,,150,,571,NA,C14
1043,22510,,160,,695,NA,C14
1044,24930,,230,,840,NA,C14
1045,24760,,200,,994,NA,C14
1046,28640,,350,,1128,NA,C14
1047,29940,,420,,1438,NA,C14
1048,31440,,450,,1698,NA,C14
1049,33160,,550,,1962,NA,C14
1050,32580,,520,,2224,NA,C14
1051,33170,,590,,2524,NA,C14
1052,38500,,1100,,2824,NA,C14
1053,34330,,620,,3129,NA,C14
1054,40300,,1500,,3361,NA,C14
1055,37900,,950,,3518,NA,C14
1056,40700,,1400,,3729,NA,C14
1057,43300,,2100,,4029,NA,C14
1058,45100,,2500,,4228,NA,C14
1059,44200,,2100,,4486,NA,C14
1060,4300,,1800,,4628,NA,C14
1061,42500,,1800,,4928,NA,C14
