"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
10	0	1	1	1	3
20	0	1	1	1	3
30	0	1	1	0	2
40	0	1	1	0	2
50	0	1	0	0	1
60	0	1	0	0	1
62	0	1	0	0	1
64	0	1	0	0	1
66	0	1	0	0	1
68	0	1	0	0	1
70	0	1	1	1	3
72	0	1	1	1	3
74	0	1	1	1	3
76	0	1	1	1	3
78	0	1	1	1	3
80	0	1	1	1	3
82	0	1	1	1	3
84	0	1	1	1	3
86	0	1	1	1	3
88	0	1	1	1	3
90	0	1	1	0	2
92	0	1	1	0	2
94	0	1	1	0	2
96	0	1	1	1	3
98	0	1	1	1	3
100	0	1	1	1	3
102	0	1	1	1	3
104	0	1	1	1	3
106	0	1	1	1	3
108	0	1	1	1	3
110	0	1	1	1	3
112	0	1	1	1	3
114	0	1	1	1	3
116	0	1	1	1	3
118	0	1	1	1	3
120	0	1	1	1	3
122	0	1	1	1	3
124	0	1	1	1	3
126	0	1	1	1	3
128	0	1	1	1	3
130	0	1	1	1	3
132	0	1	1	1	3
134	0	1	1	1	3
136	0	1	1	1	3
138	0	1	1	1	3
140	0	1	1	1	3
142	0	1	1	1	3
144	0	1	1	1	3
146	0	1	1	1	3
148	0	1	1	1	3
150	0	1	1	1	3
152	0	1	1	1	3
154	0	1	1	1	3
156	0	1	1	1	3
158	0	1	1	1	3
160	0	1	1	1	3
162	1	1	1	1	4
164	1	1	1	1	4
166	1	1	1	1	4
168	1	1	1	1	4
170	1	1	1	1	4
172	1	1	1	1	4
174	1	1	1	1	4
176	1	1	1	1	4
178	1	1	1	1	4
180	1	1	1	1	4
182	1	1	1	1	4
184	1	1	1	1	4
186	1	1	1	1	4
188	1	1	1	1	4
190	1	1	1	1	4
192	1	1	1	1	4
194	1	1	1	1	4
196	1	1	1	1	4
198	1	1	1	1	4
200	1	1	1	1	4
202	1	1	1	1	4
204	1	1	1	1	4
206	1	1	1	1	4
208	1	1	1	1	4
210	1	1	1	1	4
212	1	1	1	1	4
214	1	1	1	1	4
216	1	1	1	1	4
218	1	1	1	1	4
220	1	1	1	1	4
222	1	1	1	1	4
224	1	1	1	1	4
226	1	1	1	1	4
228	1	1	1	1	4
230	1	1	1	1	4
232	1	1	1	1	4
234	1	1	1	1	4
236	1	1	1	1	4
238	1	1	1	1	4
240	1	1	1	1	4
242	1	1	1	1	4
244	1	1	1	1	4
246	1	1	1	1	4
248	1	1	1	1	4
250	1	1	1	1	4
252	1	1	1	1	4
254	1	1	1	1	4
256	1	1	1	1	4
258	1	1	1	1	4
260	1	1	1	1	4
262	1	1	1	1	4
264	1	1	1	1	4
266	1	1	1	1	4
268	1	1	1	1	4
270	1	1	1	1	4
272	1	1	1	1	4
274	1	1	1	1	4
276	1	1	1	1	4
278	1	1	1	1	4
280	1	1	1	1	4
282	1	1	1	1	4
284	1	1	1	1	4
286	1	1	1	1	4
288	1	1	1	1	4
290	1	1	1	1	4
292	1	1	1	1	4
294	1	1	1	1	4
296	1	1	1	1	4
298	1	1	1	1	4
300	1	1	1	1	4
302	1	1	1	1	4
304	1	1	1	1	4
306	1	1	1	1	4
308	1	1	1	1	4
310	1	1	1	1	4
312	1	1	1	1	4
314	1	1	1	1	4
316	1	1	1	1	4
318	1	1	1	1	4
320	1	1	1	1	4
322	1	1	1	1	4
324	1	1	1	0	3
326	1	1	1	0	3
328	1	1	1	0	3
330	1	1	0	0	2
332	1	1	1	1	4
334	1	1	1	1	4
336	1	1	1	1	4
338	1	1	1	1	4
340	1	1	1	1	4
342	1	1	1	1	4
344	1	1	1	0	3
346	1	1	1	1	4
348	1	1	1	1	4
350	1	1	1	1	4
352	1	1	1	1	4
354	1	1	1	1	4
356	1	1	1	1	4
358	1	1	1	1	4
360	1	1	1	1	4
362	1	1	1	1	4
370	1	1	1	1	4
380	1	1	1	1	4
390	1	1	1	0	3
400	1	1	0	0	2
410	1	1	1	1	4
420	1	1	1	1	4
430	1	1	1	1	4
440	1	1	1	1	4
450	1	1	1	1	4
460	1	1	1	1	4
470	1	1	1	0	3
480	1	1	1	1	4
490	1	1	1	1	4
500	1	1	1	1	4
510	1	1	1	1	4
520	1	1	1	1	4
530	1	1	1	1	4
540	1	1	1	1	4
550	1	1	1	0	3
560	1	1	1	0	3
570	1	1	1	0	3
580	1	1	0	0	2
590	1	1	0	0	2
600	1	1	0	0	2
610	1	1	1	1	4
620	1	1	1	1	4
630	1	1	1	1	4
640	1	1	1	1	4
650	1	1	1	1	4
660	1	1	1	1	4
670	1	1	1	1	4
680	1	1	1	1	4
690	1	1	1	1	4
700	1	1	1	1	4
710	1	1	1	1	4
720	1	1	1	0	3
730	1	1	1	0	3
740	1	1	1	0	3
750	1	1	0	0	2
760	1	1	0	0	2
770	1	1	0	0	2
780	1	1	1	1	4
790	1	1	1	1	4
800	1	1	1	1	4
810	1	1	1	1	4
820	1	1	1	1	4
830	1	1	1	1	4
840	1	1	1	1	4
850	1	1	1	1	4
860	1	1	1	1	4
870	0	1	1	1	3
880	0	1	1	1	3
890	0	1	1	1	3
900	0	1	1	1	3
910	0	1	1	1	3
920	0	1	1	0	2
930	0	1	1	0	2
940	0	1	1	0	2
950	0	1	1	0	2
960	0	1	1	0	2
970	0	1	0	0	1
980	0	1	0	0	1
990	0	1	0	0	1
1000	0	1	0	0	1
1010	0	1	0	0	1
1020	0	1	0	0	1
1030	0	1	0	0	1
1040	0	1	0	0	1
1050	0	1	0	0	1
1060	0	1	0	0	1
