ID,C14_age,cal_BP,error,reservoir,depth,thickness,RCode
1072,690,,50,,5,,C14
1073,3370,,60,,81,,C14
1074,5170,,40,,110.4,,C14
1075,5550,,40,,136.5,,C14
1076,6060,,84,,150,,C14
1077,5820,,50,,162,,C14
1078,7240,,50,,196.5,,C14
1079,7730,,50,,206.1,,C14
1080,8430,,50,,218,,C14
1081,8830,,45,,233,,C14
1082,9340,,50,,250,,C14
1083,10050,,50,,256.5,,C14
1084,10480,,50,,276.5,,C14
1085,10400,,70,,278,,C14
1086,11030,,50,,299.5,,C14
1087,10970,,55,,303,,C14
1088,11250,,55,,314,,C14
1089,12810,,60,,339,,C14
1090,14550,,50,,355.1,,C14
1091,14350,,65,,366,,C14
1092,15660,,60,,378.8,,C14
1093,17200,,170,,436.5,,C14
1094,18900,,170,,516.5,,C14
1095,20900,,190,,680.5,,C14
1096,21100,,120,,682,,C14
1097,23400,,250,,866.5,,C14
