"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
47	1	1	1	1	4
47.5	1	1	1	1	4
48	1	1	1	1	4
48.5	1	1	1	1	4
49	1	1	1	1	4
49.5	1	1	1	1	4
50	1	1	1	1	4
50.5	1	1	1	1	4
51	1	1	1	1	4
51.5	0	1	1	1	3
52	0	1	1	1	3
52.5	0	1	1	1	3
53	0	1	1	1	3
53.5	0	1	1	1	3
54	0	1	1	1	3
54.5	0	1	1	1	3
55	0	1	1	1	3
55.5	0	1	1	1	3
56	0	1	1	1	3
56.5	0	1	1	1	3
57	0	1	1	1	3
57.5	0	1	1	1	3
58	0	1	1	1	3
58.5	0	1	1	1	3
59	0	1	1	1	3
59.5	0	1	1	1	3
60	0	1	1	1	3
60.5	0	1	1	1	3
61	0	1	1	1	3
61.5	0	1	1	1	3
62	0	1	1	1	3
62.5	0	1	1	1	3
63	0	1	1	1	3
63.5	0	1	1	1	3
64	0	1	1	1	3
64.5	0	1	1	1	3
65	0	1	1	1	3
65.5	0	1	1	1	3
66	0	1	1	1	3
66.5	0	1	1	1	3
67	0	1	1	1	3
67.5	0	1	1	1	3
68	0	1	1	1	3
68.5	0	1	1	1	3
69	0	1	1	1	3
69.5	0	1	1	1	3
70	0	1	1	1	3
70.5	0	1	1	1	3
71	0	1	1	1	3
71.5	0	1	1	1	3
72	0	1	1	1	3
72.5	0	1	1	1	3
73	0	1	1	1	3
73.5	0	1	1	1	3
74	0	1	1	1	3
74.5	0	1	1	1	3
75	0	1	1	1	3
75.5	0	1	1	1	3
76	0	1	1	1	3
76.5	0	1	1	1	3
77	0	1	1	1	3
77.5	0	1	1	1	3
78	0	1	1	1	3
78.5	0	1	1	1	3
79	0	1	1	1	3
79.5	0	1	1	1	3
80	0	1	1	1	3
80.5	0	1	1	1	3
81	0	1	1	1	3
81.5	0	1	1	1	3
82	0	1	1	1	3
82.5	0	1	1	1	3
83	0	1	1	1	3
83.5	0	1	1	1	3
84	0	1	1	1	3
84.5	0	1	1	1	3
85	0	1	1	1	3
85.5	0	1	1	1	3
86	0	1	1	1	3
86.5	0	1	1	1	3
87	0	1	1	1	3
87.5	0	1	1	1	3
88	0	1	1	1	3
88.5	0	1	1	1	3
89	0	1	1	1	3
89.5	0	1	1	1	3
90	0	1	1	1	3
90.5	0	1	1	1	3
91	0	1	1	1	3
91.5	0	1	1	1	3
92	0	1	1	1	3
92.5	0	1	1	1	3
93	0	1	1	1	3
93.5	0	1	1	1	3
94	0	1	1	1	3
94.5	0	1	1	1	3
95	0	1	1	1	3
95.5	0	1	1	1	3
96	0	1	1	1	3
96.5	0	1	1	1	3
97	0	1	1	1	3
97.5	0	1	1	1	3
98	0	1	1	1	3
98.5	0	1	1	1	3
99	0	1	1	1	3
99.5	0	1	1	1	3
100	0	1	1	1	3
100.5	0	1	1	1	3
101	0	1	1	1	3
102	0	1	1	1	3
103	0	1	1	1	3
104	1	1	1	1	4
105	1	1	1	1	4
106	1	1	1	1	4
107	1	1	1	1	4
108	1	1	1	1	4
109	1	1	1	1	4
110	1	1	1	1	4
111	1	1	1	1	4
112	1	1	1	1	4
113	1	1	1	1	4
114	1	1	1	1	4
115	1	1	1	1	4
116	1	1	1	1	4
117	1	1	1	1	4
118	1	1	1	1	4
119	1	1	1	1	4
120	1	1	1	1	4
121	1	1	1	1	4
122	1	1	1	1	4
123	1	1	1	1	4
124	1	1	1	1	4
125	1	1	1	1	4
126	1	1	1	1	4
127	1	1	1	1	4
128	1	1	1	1	4
129	1	1	1	1	4
130	1	1	1	1	4
131	1	1	1	1	4
132	1	1	1	1	4
133	1	1	1	1	4
134	1	1	1	1	4
135	1	1	1	1	4
136	1	1	1	1	4
137	1	1	1	1	4
138	1	1	1	1	4
139	1	1	1	1	4
140	1	1	1	1	4
141	1	1	1	1	4
142	1	1	1	1	4
143	1	1	1	1	4
144	1	1	1	1	4
145	1	1	1	1	4
146	1	1	1	1	4
147	1	1	1	1	4
148	1	1	1	1	4
149	1	1	1	1	4
150	1	1	1	1	4
151	1	1	1	1	4
152	1	1	1	1	4
153	1	1	1	1	4
154	1	1	1	1	4
156	1	1	1	1	4
158	1	1	1	1	4
160	1	1	1	1	4
162	1	1	1	1	4
164	1	1	1	1	4
166	1	1	1	1	4
168	1	1	1	1	4
170	1	1	1	1	4
172	1	1	1	1	4
174	1	1	1	1	4
176	1	1	1	1	4
178	1	1	1	1	4
