depth	min95%	max95%	best	acc.rate
47	310	459	418	10.48
47.5	314	465	424	10.48
48	317	471	429	10.48
48.5	320	477	434	10.48
49	324	483	439	10.48
49.5	327	489	445	10.48
50	331	494	450	10.48
50.5	334	500	455	10.48
51	337	506	460	14.62
51.5	349	513	468	14.62
52	361	518	475	14.62
52.5	370	524	482	14.62
53	381	531	489	14.62
53.5	391	538	497	14.62
54	401	546	504	14.62
54.5	412	553	511	14.62
55	422	560	519	14.62
55.5	431	567	526	14.62
56	440	575	533	14.62
56.5	450	584	541	14.62
57	460	592	548	14.62
57.5	469	600	555	14.62
58	479	608	563	14.62
58.5	488	617	570	14.62
59	498	627	577	14.62
59.5	507	635	584	14.62
60	516	645	592	14.62
60.5	526	654	599	14.62
61	533	663	606	14.62
61.5	540	672	614	14.62
62	548	682	621	14.62
62.5	554	691	628	14.62
63	558	701	636	14.62
63.5	563	711	643	14.62
64	567	720	650	21.59
64.5	580	730	661	21.59
65	593	739	672	21.59
65.5	605	748	683	21.59
66	617	757	693	21.59
66.5	628	767	704	21.59
67	639	777	715	21.59
67.5	651	786	726	21.59
68	662	794	737	21.59
68.5	673	804	747	21.59
69	684	814	758	21.59
69.5	695	823	769	21.59
70	707	833	780	21.59
70.5	718	844	791	21.59
71	730	855	801	21.59
71.5	742	865	812	21.59
72	753	875	823	21.59
72.5	765	887	834	21.59
73	776	899	845	21.59
73.5	787	911	855	21.59
74	799	923	866	21.59
74.5	810	936	877	21.59
75	820	947	888	21.59
75.5	831	959	898	21.59
76	841	972	909	21.59
76.5	851	985	920	21.59
77	862	997	931	21.59
77.5	870	1010	942	21.59
78	879	1022	952	21.59
78.5	890	1035	963	21.59
79	898	1047	974	21.59
79.5	908	1060	985	21.59
80	917	1073	996	21.59
80.5	925	1085	1006	21.59
81	933	1098	1017	21.59
81.5	940	1110	1028	21.59
82	950	1123	1039	21.59
82.5	958	1136	1050	21.59
83	966	1148	1060	21.59
83.5	974	1161	1071	21.59
84	982	1174	1082	5.19
84.5	987	1175	1085	5.19
85	990	1177	1087	5.19
85.5	995	1178	1090	5.19
86	999	1179	1092	5.19
86.5	1004	1180	1095	5.19
87	1008	1182	1098	5.19
87.5	1011	1183	1100	5.19
88	1016	1186	1103	5.19
88.5	1019	1188	1105	5.19
89	1022	1189	1108	5.19
89.5	1025	1191	1111	5.19
90	1028	1193	1113	5.19
90.5	1031	1195	1116	5.19
91	1033	1198	1118	5.19
91.5	1035	1200	1121	5.19
92	1038	1202	1124	5.19
92.5	1040	1204	1126	5.19
93	1041	1206	1129	5.19
93.5	1043	1209	1131	5.19
94	1045	1211	1134	5.19
94.5	1047	1214	1137	5.19
95	1049	1215	1139	5.19
95.5	1051	1218	1142	5.19
96	1053	1221	1144	5.19
96.5	1056	1224	1147	5.19
97	1058	1227	1150	5.19
97.5	1060	1229	1152	5.19
98	1063	1231	1155	5.19
98.5	1065	1233	1157	5.19
99	1067	1236	1160	5.19
99.5	1069	1239	1162	5.19
100	1071	1242	1165	5.19
100.5	1072	1245	1168	5.19
101	1073	1248	1170	5.19
102	1074	1255	1175	5.19
103	1076	1262	1181	5.19
104	1079	1269	1186	7.93
105	1094	1273	1194	7.93
106	1107	1276	1202	7.93
107	1122	1279	1210	7.93
108	1135	1283	1218	7.93
109	1148	1288	1226	7.93
110	1160	1292	1233	7.93
111	1174	1298	1241	7.93
112	1186	1304	1249	7.93
113	1198	1310	1257	7.93
114	1210	1316	1265	7.93
115	1222	1323	1273	7.93
116	1234	1331	1281	7.93
117	1245	1337	1289	7.93
118	1256	1346	1297	7.93
119	1266	1355	1305	7.93
120	1274	1365	1313	7.93
121	1281	1375	1321	7.93
122	1288	1386	1329	22.27
123	1312	1404	1351	22.27
124	1334	1424	1373	22.27
125	1357	1444	1395	22.27
126	1378	1465	1418	22.27
127	1399	1487	1440	22.27
128	1421	1508	1462	22.27
129	1440	1530	1484	22.27
130	1460	1553	1507	22.27
131	1479	1576	1529	22.27
132	1498	1600	1551	22.27
133	1517	1623	1574	22.27
134	1537	1647	1596	22.27
135	1556	1671	1618	22.27
136	1575	1695	1640	22.27
137	1594	1719	1663	22.27
138	1613	1744	1685	22.27
139	1632	1769	1707	22.27
140	1651	1793	1729	22.27
141	1670	1818	1752	22.27
142	1689	1845	1774	22.27
143	1707	1872	1796	22.27
144	1726	1898	1819	22.74
145	1754	1919	1841	22.74
146	1779	1939	1864	22.74
147	1802	1961	1887	22.74
148	1828	1980	1910	22.74
149	1852	2001	1932	22.74
150	1875	2022	1955	22.74
151	1899	2045	1978	22.74
152	1923	2067	2000	22.74
153	1947	2089	2023	22.74
154	1969	2111	2046	22.74
156	2013	2158	2091	22.74
158	2054	2204	2137	22.74
160	2093	2251	2182	22.74
162	2131	2299	2228	22.74
164	2166	2350	2273	27.59
166	2231	2398	2329	27.59
168	2294	2449	2384	27.59
170	2356	2503	2439	27.59
172	2418	2560	2494	27.59
174	2479	2616	2549	27.59
176	2541	2675	2604	27.59
178	2602	2735	2660	27.59
