depth	min95%	max95%	best	acc.rate
1	-98	86	5	8.24
2	-90	94	13	8.24
3	-80	101	21	8.24
4	-70	108	29	8.24
5	-61	116	37	8.25
6	-51	123	46	8.25
7	-41	131	54	8.26
8	-31	138	62	8.26
9	-22	146	70	8.27
10	-14	154	79	8.28
11	-4	161	87	8.29
12	6	168	95	8.3
13	16	176	104	8.31
14	27	184	112	8.32
15	36	191	120	8.34
16	45	199	129	8.35
17	53	207	137	8.36
18	62	215	145	8.38
19	70	223	154	8.4
20	80	231	162	8.41
21	88	240	170	8.43
22	96	248	179	8.45
23	106	256	187	8.47
24	116	264	196	8.49
25	126	272	204	8.51
26	135	280	213	8.54
27	143	288	221	8.56
28	152	297	230	8.58
29	161	305	239	8.61
30	170	313	247	8.63
31	179	322	256	8.66
32	187	331	264	8.69
33	196	339	273	8.72
34	205	348	282	8.75
35	215	356	291	8.78
36	223	365	299	8.81
37	232	374	308	8.84
38	241	383	317	8.87
39	251	391	326	8.91
40	259	400	335	8.94
41	268	409	344	8.98
42	276	419	353	9.01
43	285	428	362	9.05
44	293	437	371	9.09
45	302	447	380	9.13
46	310	455	389	9.17
47	320	464	398	9.21
48	329	474	407	9.25
49	338	484	417	9.29
50	348	493	426	9.34
51	356	502	435	9.38
52	366	512	445	9.42
53	376	522	454	9.47
54	386	532	464	9.52
55	396	542	473	9.57
56	406	552	483	9.61
57	416	562	492	9.66
58	425	572	502	9.71
59	435	582	512	9.76
60	445	592	521	9.82
61	455	602	531	9.87
62	465	612	541	9.92
63	476	622	551	9.98
64	485	632	561	10.03
65	495	642	571	10.09
66	505	652	581	10.15
67	515	662	591	10.21
68	526	672	601	10.26
69	536	682	612	10.32
70	547	692	622	10.39
71	558	703	632	10.45
72	568	713	643	10.51
73	579	723	653	10.57
74	589	734	664	10.64
75	600	744	675	10.7
76	611	755	685	10.77
77	623	766	696	10.84
78	634	776	707	10.9
79	645	787	718	10.97
80	656	798	729	11.04
81	667	809	740	11.11
82	678	820	751	11.18
83	689	831	762	11.25
84	699	842	773	11.33
85	710	854	785	11.4
86	722	865	796	11.48
87	733	877	808	11.55
88	744	888	819	11.63
89	756	900	831	11.71
90	768	912	842	11.78
91	779	924	854	11.86
92	791	936	866	11.94
93	802	948	878	12.02
94	813	960	890	12.1
95	824	973	902	12.17
96	836	987	914	12.25
97	847	1000	927	12.33
98	859	1014	939	12.4
99	871	1028	951	12.48
100	883	1042	964	12.55
101	894	1055	976	12.63
102	906	1069	989	12.7
103	919	1083	1002	12.78
104	930	1097	1014	12.85
105	942	1111	1027	12.92
106	954	1125	1040	13
107	966	1140	1053	13.07
108	979	1154	1066	13.14
109	991	1169	1079	13.21
110	1003	1184	1093	13.28
111	1016	1199	1106	13.35
112	1028	1214	1119	13.42
113	1041	1230	1133	13.49
114	1051	1245	1146	13.56
115	1064	1261	1160	13.63
116	1076	1276	1173	13.69
117	1088	1292	1187	13.76
118	1100	1307	1201	13.83
119	1112	1323	1215	13.9
120	1125	1339	1229	13.96
121	1139	1354	1242	14.03
122	1152	1370	1257	14.09
123	1165	1386	1271	14.16
124	1177	1402	1285	14.22
125	1190	1420	1299	14.29
126	1202	1435	1313	14.35
127	1215	1451	1328	14.41
128	1228	1468	1342	14.47
129	1240	1484	1357	14.54
130	1253	1502	1371	14.6
131	1265	1518	1386	14.66
132	1278	1535	1400	14.72
133	1291	1551	1415	14.78
134	1304	1569	1430	14.84
135	1317	1586	1445	14.9
136	1331	1602	1460	14.96
137	1343	1619	1474	15.02
138	1356	1636	1490	15.08
139	1369	1653	1505	15.13
140	1383	1671	1520	15.19
141	1396	1690	1535	15.25
142	1410	1707	1550	15.3
143	1424	1723	1565	15.36
144	1438	1742	1581	15.41
145	1451	1761	1596	15.47
146	1464	1779	1612	15.52
147	1478	1797	1627	15.58
148	1492	1814	1643	15.63
149	1507	1832	1658	15.68
150	1521	1850	1674	15.74
