depth	min95%	max95%	best	acc.rate
1	-91	102	9	9.36
2	-80	110	18	9.36
3	-69	119	27	9.36
4	-58	127	37	9.36
5	-48	135	46	9.36
6	-39	143	55	9.36
7	-29	152	65	9.36
8	-18	160	74	9.36
9	-8	168	84	9.36
10	2	177	93	9.36
11	13	186	102	9.36
12	22	194	112	9.36
13	32	203	121	9.36
14	43	212	130	9.36
15	53	220	140	9.36
16	64	229	149	9.36
17	75	238	158	9.36
18	86	246	168	9.36
19	97	255	177	9.36
20	107	263	186	9.36
21	117	272	196	9.36
22	126	280	205	9.36
23	136	289	215	9.36
24	146	298	224	9.36
25	157	306	233	9.36
26	167	315	243	9.36
27	178	324	252	9.36
28	188	333	261	9.36
29	198	341	271	9.36
30	208	349	280	9.36
31	218	358	289	9.36
32	228	366	299	9.36
33	239	375	308	9.36
34	249	383	318	9.36
35	259	392	327	9.36
36	269	401	336	9.36
37	278	409	346	9.36
38	288	418	355	9.36
39	298	427	364	9.36
40	307	436	374	9.36
41	317	445	383	9.36
42	326	455	392	9.36
43	335	464	402	9.36
44	345	473	411	9.36
45	354	482	420	9.36
46	363	490	430	9.36
47	372	499	439	9.36
48	382	509	449	9.36
49	392	518	458	9.36
50	401	527	467	9.36
51	410	537	477	9.36
52	419	546	486	9.36
53	428	555	495	9.36
54	437	564	505	9.36
55	447	573	514	9.36
56	456	583	523	9.36
57	465	592	533	9.36
58	475	602	542	9.36
59	485	612	552	9.36
60	494	621	561	9.36
61	504	630	570	9.36
62	512	639	580	9.36
63	522	648	589	9.36
64	531	658	598	9.36
65	541	667	608	9.36
66	550	677	617	9.36
67	559	686	626	9.36
68	569	696	636	9.36
69	577	706	645	9.36
70	587	716	654	9.36
71	596	725	664	9.36
72	605	735	673	9.36
73	614	744	683	9.36
74	623	754	692	9.36
75	631	763	701	9.36
76	640	773	711	9.36
77	648	783	720	9.36
78	656	793	729	9.36
79	665	802	739	9.36
80	673	812	748	9.36
81	682	821	757	9.36
82	689	831	767	9.36
83	698	841	776	9.36
84	707	850	786	9.36
85	715	860	795	9.36
86	724	870	804	9.36
87	733	880	814	9.36
88	742	890	823	9.36
89	751	900	832	9.36
90	760	910	842	9.36
91	768	920	851	15.3
92	784	935	866	15.3
93	801	949	882	15.3
94	817	964	897	15.3
95	832	978	912	15.3
96	848	993	928	15.3
97	863	1008	943	15.3
98	880	1023	958	15.3
99	896	1038	973	15.3
100	911	1053	989	15.3
101	928	1068	1004	15.3
102	945	1083	1019	15.3
103	960	1098	1035	15.3
104	975	1113	1050	15.3
105	991	1128	1065	15.3
106	1007	1143	1080	15.3
107	1023	1158	1096	15.3
108	1039	1173	1111	15.3
109	1055	1188	1126	15.3
110	1071	1203	1142	15.3
111	1086	1218	1157	15.3
112	1102	1233	1172	15.3
113	1117	1248	1188	15.3
114	1133	1263	1203	15.3
115	1148	1278	1218	15.3
116	1164	1293	1233	15.3
117	1180	1309	1249	15.3
118	1196	1324	1264	15.3
119	1211	1339	1279	15.3
120	1227	1354	1295	15.3
121	1242	1370	1310	15.3
122	1258	1385	1325	15.3
123	1274	1400	1341	15.3
124	1290	1415	1356	15.3
125	1306	1430	1371	15.3
126	1321	1446	1386	15.3
127	1336	1461	1402	15.3
128	1351	1476	1417	15.3
129	1366	1491	1432	15.3
130	1380	1507	1448	15.3
131	1396	1522	1463	15.3
132	1410	1538	1478	15.3
133	1426	1553	1493	15.3
134	1440	1569	1509	15.3
135	1455	1584	1524	15.3
136	1470	1599	1539	15.3
137	1485	1614	1555	15.3
138	1501	1630	1570	15.3
139	1516	1645	1585	15.3
140	1532	1660	1601	15.3
141	1547	1675	1616	15.3
142	1561	1691	1631	15.3
143	1576	1706	1646	15.3
144	1591	1722	1662	15.3
145	1606	1737	1677	15.3
146	1621	1752	1692	15.3
147	1636	1767	1708	15.3
148	1650	1783	1723	15.3
149	1665	1798	1738	15.3
150	1680	1813	1754	15.3
151	1695	1829	1769	15.3
152	1710	1844	1784	15.3
153	1726	1859	1799	15.3
154	1741	1875	1815	15.3
155	1756	1890	1830	15.3
156	1771	1905	1845	15.3
157	1786	1921	1861	15.3
158	1800	1936	1876	15.3
159	1815	1952	1891	15.3
160	1830	1967	1907	15.3
161	1845	1982	1922	15.3
162	1859	1998	1937	15.3
163	1874	2013	1952	15.3
164	1889	2029	1968	15.3
165	1903	2045	1983	15.3
166	1918	2061	1998	15.3
167	1932	2076	2014	15.3
168	1946	2092	2029	15.3
169	1961	2107	2044	15.3
170	1975	2122	2059	15.3
171	1989	2138	2075	15.3
172	2003	2153	2090	15.3
173	2017	2169	2105	15.3
174	2032	2184	2121	15.3
175	2046	2199	2136	15.3
176	2061	2215	2151	15.3
177	2075	2231	2167	15.3
178	2090	2247	2182	15.3
179	2104	2263	2197	15.3
180	2118	2279	2212	15.3
181	2133	2295	2228	15.3
182	2148	2310	2243	15.3
183	2163	2326	2258	15.3
184	2178	2342	2274	15.3
185	2193	2357	2289	15.3
186	2207	2373	2304	15.3
187	2222	2389	2320	15.3
188	2236	2404	2335	15.3
189	2250	2420	2350	15.3
190	2265	2435	2365	15.3
191	2279	2450	2381	15.3
192	2293	2466	2396	15.3
193	2307	2483	2411	15.3
194	2321	2499	2427	15.3
195	2336	2515	2442	15.3
196	2350	2531	2457	15.3
197	2365	2548	2472	21.1
198	2386	2568	2494	21.1
199	2409	2590	2515	21.1
200	2430	2612	2536	21.1
201	2452	2633	2557	21.1
202	2475	2655	2578	21.1
203	2498	2678	2599	21.1
204	2520	2701	2620	21.1
205	2542	2723	2641	21.1
206	2564	2745	2662	21.1
207	2586	2766	2683	21.1
208	2607	2789	2705	21.1
209	2628	2812	2726	21.1
210	2648	2835	2747	21.1
211	2668	2858	2768	21.1
212	2687	2880	2789	21.1
213	2707	2903	2810	21.1
214	2726	2926	2831	21.1
215	2746	2949	2852	21.1
216	2765	2972	2873	21.1
217	2786	2994	2895	21.1
218	2806	3017	2916	21.1
219	2826	3041	2937	21.1
220	2846	3065	2958	21.1
221	2865	3088	2979	21.1
222	2884	3112	3000	21.1
223	2904	3134	3021	21.1
224	2924	3158	3042	21.1
225	2944	3181	3063	21.1
226	2964	3206	3084	21.1
227	2982	3230	3106	21.1
228	3000	3255	3127	21.1
229	3018	3279	3148	21.1
230	3036	3303	3169	21.1
231	3055	3329	3190	21.1
232	3071	3352	3211	21.1
233	3089	3377	3232	21.1
234	3107	3401	3253	21.1
235	3126	3426	3274	21.1
236	3145	3451	3295	21.1
237	3163	3476	3317	21.1
238	3180	3500	3338	21.1
239	3198	3523	3359	21.1
240	3217	3548	3380	21.1
241	3237	3572	3401	21.1
242	3255	3598	3422	21.1
243	3274	3624	3443	21.1
244	3293	3649	3464	21.1
245	3311	3674	3485	21.1
246	3328	3699	3506	21.1
247	3346	3723	3528	21.1
248	3363	3748	3549	21.1
249	3381	3773	3570	21.1
250	3398	3797	3591	21.1
251	3416	3821	3612	21.1
252	3434	3845	3633	21.1
253	3451	3869	3654	21.1
254	3467	3893	3675	21.1
255	3484	3917	3696	21.1
256	3500	3942	3717	21.1
257	3517	3966	3739	21.1
258	3534	3990	3760	21.1
259	3550	4014	3781	21.1
260	3567	4039	3802	21.1
261	3583	4064	3823	21.1
262	3600	4089	3844	21.1
263	3618	4115	3865	21.1
264	3636	4141	3886	21.1
265	3652	4166	3907	60.49
266	3724	4213	3968	60.49
