"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	1	1	1	1	4
1	1	1	1	1	4
2	1	1	1	1	4
3	1	1	1	1	4
4	1	1	1	1	4
5	1	1	1	1	4
6	1	1	1	1	4
7	1	1	1	1	4
8	1	1	1	1	4
9	1	1	1	1	4
10	1	1	1	1	4
11	1	1	1	1	4
12	1	1	1	1	4
13	1	1	1	1	4
14	1	1	1	1	4
15	1	1	1	1	4
16	1	1	1	1	4
17	1	1	1	1	4
18	1	1	1	1	4
19	1	1	1	1	4
20	1	1	1	1	4
21	1	1	1	1	4
22	1	1	1	1	4
23	1	1	1	1	4
24	1	1	1	1	4
25	1	1	1	1	4
26	1	1	1	1	4
27	1	1	1	1	4
28	1	1	1	1	4
29	1	1	1	1	4
30	1	1	1	1	4
31	1	1	1	1	4
32	1	1	1	1	4
33	1	1	1	1	4
34	1	1	1	1	4
35	1	1	1	1	4
36	1	1	1	1	4
37	1	1	1	1	4
38	1	1	1	1	4
39	1	1	1	1	4
40	1	1	1	1	4
41	1	1	1	1	4
42	1	1	1	1	4
43	1	1	1	1	4
44	1	1	1	1	4
45	1	1	1	1	4
46	1	1	1	1	4
47	1	1	1	1	4
48	1	1	1	1	4
49	1	1	1	1	4
50	1	1	1	1	4
51	1	1	1	1	4
52	1	1	1	1	4
53	1	1	1	1	4
54	1	1	1	1	4
55	1	1	1	1	4
56	1	1	1	1	4
57	1	1	1	1	4
58	1	1	1	1	4
59	1	1	1	1	4
60	1	1	1	1	4
61	1	1	1	1	4
62	1	1	1	1	4
63	1	1	1	1	4
64	1	1	1	1	4
65	1	1	1	1	4
66	1	1	1	1	4
67	1	1	1	1	4
68	1	1	1	1	4
69	1	1	1	1	4
70	1	1	1	1	4
71	1	1	1	1	4
72	1	1	1	1	4
73	1	1	1	1	4
74	1	1	1	1	4
75	1	1	1	1	4
76	1	1	1	1	4
77	1	1	1	1	4
78	1	1	1	1	4
79	1	1	1	1	4
80	1	1	1	1	4
81	1	1	1	1	4
82	1	1	1	1	4
83	1	1	1	1	4
84	1	1	1	1	4
85	1	1	1	1	4
86	1	1	1	1	4
87	1	1	1	1	4
88	1	1	1	1	4
89	1	1	1	1	4
90	1	1	1	1	4
91	1	1	1	1	4
92	1	1	1	1	4
93	1	1	1	1	4
94	1	1	1	1	4
95	1	1	1	1	4
96	1	1	1	1	4
97	1	1	1	1	4
98	1	1	1	1	4
99	1	1	1	1	4
100	1	1	1	1	4
101	1	1	1	1	4
102	1	1	1	1	4
103	1	1	1	1	4
104	1	1	1	1	4
105	1	1	1	1	4
106	1	1	1	1	4
107	1	1	1	1	4
108	1	1	1	1	4
109	1	1	1	1	4
110	1	1	1	1	4
111	1	1	1	1	4
112	1	1	1	1	4
113	1	1	1	1	4
114	1	1	1	1	4
115	1	1	1	1	4
116	1	1	1	1	4
117	1	1	1	1	4
118	1	1	1	1	4
119	1	1	1	1	4
120	1	1	1	1	4
121	1	1	1	1	4
122	1	1	1	1	4
123	1	1	1	1	4
124	1	1	1	1	4
125	1	1	1	1	4
126	1	1	1	1	4
127	1	1	1	1	4
128	1	1	1	1	4
129	1	1	1	1	4
130	1	1	1	0	3
131	1	1	1	0	3
132	1	1	1	0	3
133	1	1	1	0	3
134	1	1	1	0	3
135	1	1	1	0	3
136	1	1	1	0	3
137	1	1	1	0	3
138	1	1	1	0	3
139	1	1	1	0	3
140	1	1	1	0	3
141	1	1	1	0	3
142	1	1	1	0	3
143	1	1	1	1	4
144	1	1	1	1	4
145	1	1	1	1	4
146	1	1	1	1	4
147	1	1	1	1	4
148	1	1	1	1	4
149	1	1	1	1	4
150	1	1	1	1	4
151	1	1	1	1	4
152	1	1	1	1	4
153	1	1	1	1	4
154	1	1	1	1	4
155	1	1	1	1	4
156	1	1	1	1	4
157	1	1	1	1	4
158	1	1	1	1	4
159	1	1	1	1	4
160	1	1	1	1	4
161	1	1	1	1	4
162	1	1	1	1	4
163	1	1	1	1	4
164	1	1	1	1	4
165	1	1	1	1	4
166	1	1	1	1	4
167	1	1	1	1	4
168	1	1	1	1	4
169	1	1	1	1	4
170	1	1	1	1	4
171	1	1	1	1	4
172	1	1	1	1	4
173	1	1	1	1	4
174	1	1	1	1	4
175	1	1	1	1	4
176	1	1	1	1	4
177	1	1	1	1	4
178	1	1	1	1	4
179	1	1	1	1	4
180	1	1	1	1	4
181	1	1	1	1	4
182	1	1	1	1	4
183	1	1	1	1	4
184	1	1	1	1	4
185	1	1	1	1	4
186	1	1	1	1	4
187	1	1	1	1	4
188	1	1	1	1	4
189	1	1	1	1	4
190	1	1	1	1	4
191	1	1	1	1	4
192	1	1	1	1	4
193	1	1	1	1	4
194	1	1	1	1	4
195	1	1	1	1	4
196	1	1	1	1	4
197	1	1	1	1	4
198	1	1	1	1	4
199	1	1	1	1	4
200	1	1	1	1	4
201	1	1	1	1	4
202	1	1	1	1	4
203	1	1	1	1	4
204	1	1	1	1	4
205	1	1	1	1	4
206	1	1	1	1	4
207	1	1	1	1	4
208	1	1	1	1	4
209	1	1	1	1	4
210	1	1	1	1	4
211	1	1	1	1	4
212	1	1	1	1	4
213	1	1	1	1	4
214	1	1	1	1	4
215	1	1	1	1	4
216	1	1	1	1	4
217	1	1	1	1	4
218	1	1	1	1	4
219	1	1	1	1	4
220	1	1	1	1	4
221	1	1	1	0	3
222	1	1	1	0	3
223	1	1	1	0	3
224	1	1	1	0	3
225	1	1	1	0	3
226	1	1	1	1	4
227	1	1	1	1	4
228	1	1	1	1	4
229	1	1	1	1	4
230	1	1	1	1	4
231	1	1	1	1	4
232	1	1	1	1	4
233	1	1	1	1	4
234	1	1	1	1	4
235	1	1	1	1	4
236	1	1	1	1	4
237	1	1	1	1	4
238	1	1	1	1	4
239	1	1	1	1	4
240	1	1	1	1	4
241	1	1	1	1	4
242	1	1	1	1	4
243	1	1	1	1	4
244	1	1	1	1	4
245	1	1	1	1	4
246	1	1	1	1	4
247	1	1	1	1	4
248	1	1	1	1	4
249	1	1	1	1	4
250	1	1	1	1	4
251	1	1	1	1	4
252	1	1	1	1	4
253	1	1	1	1	4
254	1	1	1	1	4
255	1	1	1	1	4
256	1	1	1	1	4
257	1	1	1	1	4
258	1	1	1	1	4
259	1	1	1	1	4
260	1	1	1	1	4
261	1	1	1	1	4
262	1	1	1	1	4
263	1	1	1	1	4
264	1	1	1	1	4
265	1	1	1	1	4
266	1	1	1	1	4
267	1	1	1	1	4
268	1	1	1	1	4
269	1	1	1	1	4
270	1	1	1	1	4
271	1	1	1	1	4
272	1	1	1	1	4
273	1	1	1	1	4
274	1	1	1	1	4
275	1	1	1	1	4
276	1	1	1	1	4
277	1	1	1	1	4
278	1	1	1	1	4
279	1	1	1	1	4
280	1	1	1	1	4
281	1	1	1	1	4
282	1	1	1	1	4
283	1	1	1	1	4
284	1	1	1	1	4
285	0	1	1	1	3
286	0	1	1	1	3
287	0	1	1	1	3
288	0	1	1	1	3
289	0	1	1	1	3
290	0	1	1	1	3
291	0	1	1	1	3
292	0	1	1	1	3
293	0	1	1	1	3
294	0	1	1	1	3
295	0	1	1	1	3
296	0	1	1	1	3
297	0	1	1	1	3
