"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
12	0	1	0	0	1
24	0	0	0	0	0
37	0	0	0	0	0
49	0	0	0	0	0
62	0	1	0	0	1
74	0	1	1	1	3
87	0	1	1	0	2
99	0	0	0	0	0
112	0	0	0	0	0
124	0	0	0	0	0
137	0	0	0	0	0
149	0	0	0	0	0
162	0	0	0	0	0
174	0	0	0	0	0
187	0	0	0	0	0
199	0	0	0	0	0
212	0	0	0	0	0
224	0	0	0	0	0
237	0	0	0	0	0
249	0	0	0	0	0
262	0	0	0	0	0
274	0	0	0	0	0
287	0	0	0	0	0
299	0	0	0	0	0
312	0	1	1	1	3
324	1	1	1	1	4
337	1	1	1	1	4
349	1	1	1	1	4
362	1	1	1	1	4
374	1	1	1	1	4
387	1	1	1	1	4
399	1	1	1	1	4
412	1	1	1	1	4
424	1	1	1	1	4
437	1	1	1	1	4
449	1	1	1	1	4
462	1	1	1	1	4
474	1	1	1	1	4
487	1	1	1	1	4
499	1	1	1	1	4
512	1	1	1	1	4
524	1	1	1	1	4
537	1	1	1	1	4
549	1	1	1	1	4
562	1	1	1	1	4
574	1	1	1	0	3
587	1	1	0	0	2
599	1	1	0	0	2
612	1	1	0	0	2
624	1	0	0	0	1
637	1	1	0	0	2
649	1	1	0	0	2
662	1	1	0	0	2
674	1	1	1	1	4
687	1	1	1	1	4
699	1	1	1	1	4
712	1	1	1	1	4
724	1	1	1	1	4
737	1	1	1	0	3
749	1	1	1	0	3
762	1	1	1	1	4
774	1	1	1	1	4
787	1	1	1	1	4
799	1	1	1	1	4
812	1	1	1	1	4
824	1	1	1	1	4
837	1	1	1	1	4
849	1	1	1	1	4
862	1	1	1	1	4
874	1	1	1	1	4
887	1	1	1	0	3
899	1	1	1	0	3
912	1	1	1	0	3
924	1	1	0	0	2
937	1	1	0	0	2
949	1	1	0	0	2
962	1	1	0	0	2
974	1	1	0	0	2
987	1	1	0	0	2
999	1	1	0	0	2
1012	1	0	0	0	1
1024	1	0	0	0	1
1037	1	0	0	0	1
1049	1	0	0	0	1
1062	1	0	0	0	1
1074	1	0	0	0	1
1087	1	0	0	0	1
1099	1	0	0	0	1
1112	1	0	0	0	1
1124	1	0	0	0	1
1137	1	0	0	0	1
1149	1	0	0	0	1
1162	1	0	0	0	1
1174	1	0	0	0	1
1187	1	1	0	0	2
1199	1	1	0	0	2
1212	1	1	0	0	2
1224	1	1	0	0	2
1237	1	1	0	0	2
1249	0	1	0	0	1
1262	0	1	1	1	3
1274	0	1	1	1	3
1287	0	1	1	1	3
