depth	min95%	max95%	best	acc.rate
0	-143	52	-46	107.42
1	-34	157	61	107.42
6	508	684	599	107.42
11	1048	1217	1136	107.42
16	1588	1753	1673	107.42
21	2126	2294	2210	107.42
26	2658	2833	2747	107.42
31	3189	3375	3284	107.42
36	3716	3921	3821	107.42
41	4241	4468	4358	107.42
46	4768	5016	4895	107.42
51	5293	5564	5432	107.42
56	5814	6114	5969	107.42
61	6334	6663	6506	107.42
66	6779	7092	6942	73.69
71	7174	7448	7311	73.69
76	7557	7802	7679	73.69
81	7931	8160	8048	73.69
86	8294	8523	8416	73.69
91	8649	8896	8785	73.69
96	9000	9275	9153	73.69
99	9207	9507	9374	NA
