depth	min95%	max95%	best	acc.rate
5	-1077	-47	-241	-1.96
13	-941	-83	-252	0.06
19	-792	-86	-243	3.98
25	-654	-56	-205	9.96
31	-480	15	-126	17.99
38	-202	152	34	29.97
43	38	313	204	40.25
48	313	515	428	51.95
52	563	720	651	62.34
56	842	980	917	73.37
60	1155	1292	1227	84.02
65	1573	1751	1672	96.64
69	1939	2172	2073	106.19
74	2413	2743	2627	117.29
79	2916	3362	3233	126.84
82	3236	3757	3619	131.79
85	3566	4168	4019	136.16
90	4132	4877	4712	142.14
94	4600	5470	5287	145.76
100	5311	6396	6171	149.25
104	5788	7023	6770	150.27
109	6386	7834	7522	150.4
114	6989	8642	8274	150.4
118	7473	9287	8875	NA
