depth	min95%	max95%	best	acc.rate
105	1058	1235	1149	40.12
110	1261	1436	1350	40.12
140	2403	2721	2553	40.12
145	2589	2944	2754	40.12
150	2774	3165	2954	40.12
155	2958	3387	3155	40.12
160	3141	3608	3356	40.12
165	3324	3830	3556	40.12
171	3544	4099	3797	40.12
174	3655	4233	3917	40.12
180	3878	4500	4158	40.12
185	4059	4722	4359	40.12
190	4241	4944	4559	40.12
200	4608	5389	4960	40.12
210	4976	5834	5362	40.12
215	5159	6057	5562	40.12
220	5343	6279	5763	40.12
225	5526	6500	5963	40.12
230	5708	6721	6164	40.12
235	5892	6944	6365	40.12
245	6258	7390	6766	40.12
256	6659	7878	7207	40.12
266	7026	8321	7608	40.12
275	7357	8721	7969	40.12
285	7741	9138	8369	39.62
295	8162	9494	8765	39.62
306	8623	9907	9201	39.62
316	9026	10288	9597	39.62
325	9395	10626	9954	39.62
335	9802	11008	10350	39.62
345	10203	11390	10746	39.62
355	10612	11753	11142	39.62
366	11058	12158	11578	39.62
385	11806	12903	12331	39.62
396	12250	13321	12767	39.62
405	12602	13661	13123	39.62
415	12982	14052	13520	39.62
425	13373	14445	13916	39.62
435	13750	14843	14312	39.62
445	14118	15255	14708	39.62
455	14497	15680	15104	39.62
465	14866	16094	15501	39.62
475	15247	16511	15897	39.62
485	15608	16933	16293	39.62
496	16015	17399	16729	39.62
505	16344	17776	17086	39.62
515	16719	18199	17482	39.62
525	17083	18609	17878	39.62
535	17445	19002	18254	39.62
545	17813	19418	18651	39.62
555	18167	19840	19047	39.62
570	18722	20478	19641	39.62
581	19113	20952	20077	39.62
590	19447	21332	20434	39.62
595	19628	21546	20632	39.62
600	19809	21759	20830	39.62
605	19991	21972	21028	39.62
610	20172	22187	21226	39.62
620	20534	22613	21622	39.62
630	20896	23058	22018	39.62
641	21294	23538	22454	39.62
650	21615	23926	22811	39.62
660	21958	24348	23207	39.62
670	22307	24787	23603	39.62
681	22702	25270	24039	39.62
690	23026	25665	24396	39.62
700	23385	26102	24792	39.62
710	23743	26541	25188	39.62
716	23958	26798	25426	39.62
720	24102	26971	25584	39.62
725	24282	27191	25782	39.62
735	24641	27630	26179	39.62
740	24820	27850	26377	39.62
746	25038	28113	26614	39.62
749	25148	28242	26733	39.62
755	25363	28499	26971	39.62
760	25540	28713	27169	39.62
768	25825	29055	27486	39.62
785	26432	29787	28160	NA
