"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
105	0	1	1	1	3
110	0	1	1	1	3
140	0	1	0	0	1
145	0	1	0	0	1
150	0	1	0	0	1
155	0	0	0	0	0
160	0	0	0	0	0
165	0	0	0	0	0
171	0	0	0	0	0
174	0	0	0	0	0
180	0	0	0	0	0
185	0	0	0	0	0
190	0	0	0	0	0
200	0	0	0	0	0
210	0	0	0	0	0
215	0	0	0	0	0
220	0	0	0	0	0
225	0	0	0	0	0
230	0	0	0	0	0
235	0	1	0	0	1
245	0	1	0	0	1
256	0	1	0	0	1
266	0	1	1	1	3
275	0	1	1	1	3
285	0	1	1	1	3
295	0	1	1	1	3
306	0	1	1	0	2
316	0	1	0	0	1
325	0	1	0	0	1
335	0	0	0	0	0
345	0	0	0	0	0
355	0	0	0	0	0
366	0	0	0	0	0
385	0	0	0	0	0
396	0	0	0	0	0
405	0	0	0	0	0
415	0	0	0	0	0
425	0	0	0	0	0
435	0	0	0	0	0
445	0	0	0	0	0
455	0	0	0	0	0
465	0	0	0	0	0
475	0	0	0	0	0
485	0	1	0	0	1
496	0	1	0	0	1
505	0	1	1	1	3
515	0	1	1	1	3
525	0	1	1	1	3
535	0	1	1	1	3
545	0	1	1	0	2
555	0	1	0	0	1
570	0	1	0	0	1
581	0	0	0	0	0
590	0	0	0	0	0
595	0	0	0	0	0
600	0	0	0	0	0
605	0	0	0	0	0
610	0	0	0	0	0
620	0	0	0	0	0
630	0	0	0	0	0
641	0	1	0	0	1
650	0	1	0	0	1
660	0	1	1	1	3
670	0	1	1	1	3
681	0	1	1	1	3
690	0	1	1	1	3
700	0	1	1	0	2
710	0	1	0	0	1
716	0	1	0	0	1
720	0	1	0	0	1
725	0	1	0	0	1
735	0	0	0	0	0
740	0	0	0	0	0
746	0	0	0	0	0
749	0	0	0	0	0
755	0	0	0	0	0
760	0	0	0	0	0
768	0	0	0	0	0
785	0	0	0	0	0
