"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
34	0	0	0	0	0
39	0	0	0	0	0
48	0	0	0	0	0
54	0	0	0	0	0
58	0	0	0	0	0
67	0	0	0	0	0
72	0	0	0	0	0
80	0	0	0	0	0
84	0	0	0	0	0
94	0	0	0	0	0
104	0	0	0	0	0
110	0	0	0	0	0
119	0	0	0	0	0
126	0	0	0	0	0
161	0	0	0	0	0
171	0	0	0	0	0
179	0	0	0	0	0
184	0	0	0	0	0
197	0	0	0	0	0
204	0	0	0	0	0
206	0	0	0	0	0
211	0	0	0	0	0
215	0	0	0	0	0
223	0	0	0	0	0
229	0	0	0	0	0
233	0	0	0	0	0
244	0	1	0	0	1
253	0	1	0	0	1
257	0	1	0	0	1
264	0	1	0	0	1
271	0	1	0	0	1
276	0	1	1	1	3
283	0	1	1	1	3
292	0	1	1	1	3
299	0	1	1	1	3
304	0	1	1	1	3
308	0	1	1	1	3
313	0	1	1	1	3
320	0	1	1	1	3
329	0	1	1	1	3
334	0	1	1	1	3
338	0	1	1	0	2
347	0	1	1	0	2
354	0	1	1	0	2
358	0	1	0	0	1
363	0	1	0	0	1
369	0	1	0	0	1
375	0	1	0	0	1
379	0	1	0	0	1
382	0	1	0	0	1
397	0	0	0	0	0
404	0	0	0	0	0
409	0	0	0	0	0
415	0	0	0	0	0
428	0	0	0	0	0
432	0	0	0	0	0
441	0	1	0	0	1
447	0	1	0	0	1
454	0	1	0	0	1
459	0	1	0	0	1
465	0	1	0	0	1
470	0	1	0	0	1
477	0	1	0	0	1
485	0	1	1	1	3
489	0	1	1	1	3
493	0	1	1	1	3
498	0	1	1	1	3
503	0	1	1	1	3
508	0	1	1	1	3
515	0	1	1	1	3
522	0	1	1	1	3
524	0	1	1	1	3
526	0	1	1	1	3
529	0	1	1	1	3
