depth	min95%	max95%	best	acc.rate
5	-714	-609	-642	12.32
10	-650	-550	-581	12.32
15	-586	-491	-519	12.32
20	-521	-432	-458	12.32
25	-457	-373	-396	12.32
30	-393	-314	-335	12.32
35	-329	-255	-273	12.32
40	-265	-195	-211	12.32
45	-200	-136	-150	12.32
50	-136	-77	-88	12.32
55	-72	-18	-27	12.32
60	-10	44	35	12.32
65	52	108	97	12.32
70	113	171	158	12.32
75	175	235	220	12.32
80	236	299	281	12.32
85	298	362	343	12.32
90	359	426	404	12.32
95	421	489	466	12.32
100	482	553	528	12.32
105	544	616	589	12.32
110	605	680	651	12.32
115	667	743	712	12.32
120	728	807	774	12.32
125	790	870	836	12.32
130	851	934	897	12.32
135	912	997	959	12.32
140	973	1061	1020	12.32
145	1033	1124	1082	12.32
150	1092	1188	1143	12.32
155	1153	1252	1205	12.32
160	1213	1315	1267	12.32
165	1274	1379	1328	12.32
170	1333	1442	1390	12.32
175	1393	1506	1451	12.32
180	1452	1569	1513	12.32
185	1511	1633	1574	12.32
190	1571	1696	1636	12.32
195	1631	1760	1698	12.32
200	1690	1824	1759	12.32
205	1749	1887	1821	12.32
210	1808	1951	1882	12.32
215	1867	2014	1944	12.32
220	1926	2079	2006	12.32
225	1989	2143	2068	13.43
230	2062	2205	2135	13.43
235	2137	2270	2203	13.43
240	2207	2333	2270	13.43
245	2277	2400	2337	13.43
250	2345	2466	2404	13.43
255	2412	2534	2471	13.43
260	2478	2603	2538	13.43
265	2544	2671	2605	13.43
270	2609	2742	2673	13.43
275	2672	2813	2740	13.43
280	2735	2886	2807	13.43
285	2798	2961	2874	13.43
290	2857	3036	2941	13.43
295	2917	3112	3008	13.43
300	2976	3189	3075	13.43
305	3035	3266	3143	13.43
310	3093	3341	3210	13.43
315	3151	3416	3277	13.43
320	3208	3493	3344	13.43
325	3267	3570	3411	13.43
330	3326	3647	3478	13.43
335	3384	3725	3545	13.43
340	3443	3801	3613	13.43
345	3500	3878	3680	13.43
350	3557	3954	3747	NA
