depth	min95%	max95%	best	acc.rate
5	-194	36	-44	-0.11
10	-180	24	-44	-0.03
15	-163	16	-44	0.1
20	-146	8	-43	0.28
25	-128	4	-42	0.52
30	-110	1	-38	0.8
35	-94	-1	-34	1.13
40	-79	0	-27	1.51
45	-62	3	-19	1.95
50	-47	10	-8	2.43
55	-34	20	5	2.97
60	-20	36	21	3.53
65	-4	63	40	4.07
70	15	91	61	4.6
75	38	123	85	5.12
80	64	158	112	5.61
85	92	195	141	6.1
90	121	234	172	6.57
95	150	276	206	7.02
100	181	320	242	7.46
105	210	370	280	7.88
110	241	417	320	8.29
115	272	469	363	8.69
120	312	523	407	9.07
125	350	579	453	9.43
130	387	638	501	9.78
135	424	698	550	10.11
140	462	759	601	10.43
145	503	815	654	10.73
150	545	878	708	11.02
155	587	949	764	11.3
160	628	1019	821	11.55
165	674	1094	879	11.8
170	721	1160	939	12.02
175	769	1231	999	12.24
180	819	1305	1061	12.44
185	864	1380	1124	12.62
190	911	1456	1187	12.79
195	962	1525	1251	12.94
200	1014	1600	1316	13.08
205	1066	1677	1382	13.2
210	1119	1755	1448	13.31
215	1172	1834	1515	13.4
220	1225	1912	1582	13.48
225	1279	1989	1649	13.54
230	1329	2064	1717	13.59
235	1380	2139	1785	13.65
240	1434	2216	1854	13.69
245	1489	2289	1922	13.73
250	1544	2367	1991	13.77
255	1600	2442	2060	13.8
260	1656	2518	2129	13.82
265	1713	2591	2198	13.84
270	1769	2668	2267	13.86
275	1825	2748	2337	13.87
280	1882	2827	2406	13.88
285	1938	2905	2475	13.88
290	1994	2985	2545	13.88
295	2050	3065	2614	13.88
300	2105	3144	2684	13.88
305	2160	3224	2753	13.88
310	2215	3304	2822	13.88
315	2269	3384	2892	13.88
320	2323	3463	2961	13.88
325	2376	3543	3031	13.88
330	2429	3623	3100	13.88
335	2482	3705	3169	13.88
340	2536	3787	3239	13.88
345	2589	3868	3308	13.88
350	2642	3949	3378	NA
