depth	min95%	max95%	best	acc.rate
30	-60	-40	-50	0.34
35	-58	-39	-48	0.34
40	-56	-38	-47	0.34
45	-54	-36	-45	0.34
50	-52	-34	-43	0.34
55	-50	-31	-42	0.34
60	-48	-29	-40	0.34
65	-47	-27	-38	0.34
70	-45	-25	-37	0.34
75	-43	-22	-35	0.34
80	-41	-20	-33	0.34
85	-39	-18	-31	0.34
90	-37	-16	-30	0.34
95	-36	-13	-28	0.34
100	-34	-11	-26	0.34
105	-21	6	-11	4.77
110	-1	33	12	4.77
115	19	61	36	4.77
120	39	88	60	4.77
125	58	116	84	4.77
130	78	143	108	4.77
135	98	170	132	4.77
140	118	197	155	4.77
145	138	226	179	4.77
150	158	254	203	4.77
155	178	282	227	4.77
160	198	311	251	4.77
165	217	339	275	4.77
170	236	367	298	4.77
175	256	396	322	4.77
180	276	425	346	4.77
185	295	453	370	4.77
190	314	482	394	4.77
195	333	511	418	4.77
200	352	539	442	NA
