depth	min95%	max95%	best	acc.rate
0	-70	-30	-49	1.42
3	-65	-26	-45	1.42
8	-60	-17	-38	1.42
13	-54	-6	-31	1.42
18	-50	6	-24	1.42
23	-46	20	-17	1.42
28	-42	34	-9	1.42
33	-38	47	-2	1.42
38	-35	62	5	1.42
43	-31	77	12	1.42
48	-28	92	19	1.42
53	-25	107	26	1.42
58	-22	122	33	1.42
63	-19	137	40	1.42
68	-15	151	48	1.42
73	-13	166	55	1.42
78	-10	180	62	1.42
83	-8	195	69	1.42
88	-6	210	76	1.42
93	-3	225	83	1.42
98	-1	240	90	1.42
103	2	256	97	1.42
108	16	265	111	3.66
113	27	275	130	3.66
118	34	294	148	3.66
123	45	312	166	3.66
128	54	340	185	3.66
133	60	377	203	3.66
138	65	412	221	3.66
143	69	447	239	3.66
148	73	493	258	3.66
153	77	540	276	3.66
158	80	585	294	3.66
163	84	628	313	3.66
168	88	668	331	3.66
173	91	715	349	NA
