depth	min95%	max95%	best	acc.rate
340	687	913	799	11.07
360	921	1120	1020	11.07
380	1154	1331	1242	11.07
410	1500	1651	1574	11.07
420	1615	1759	1685	11.07
430	1729	1867	1795	11.07
440	1843	1975	1906	11.07
450	1957	2084	2017	11.07
460	2070	2193	2128	11.07
470	2181	2304	2238	11.07
490	2406	2529	2460	11.07
500	2516	2643	2571	11.07
510	2628	2756	2681	11.07
520	2735	2871	2792	11.07
530	2843	2986	2903	11.07
540	2948	3103	3013	11.07
550	3052	3218	3124	11.07
570	3257	3453	3346	11.07
580	3360	3568	3456	NA
