depth	min95%	max95%	best	acc.rate
0	-49	-7	-27	3.11
2.5	-34	-6	-20	3.11
5	-18	-6	-12	3.11
7.5	-8	-2	-4	3.12
10	-5	13	4	3.33
12.5	-3	29	12	3.71
15	0	46	22	4.43
17.5	6	64	34	5.22
20	14	85	48	6.45
22.5	26	107	65	7.67
25	42	132	86	9.41
27.5	63	161	111	11.04
30	91	193	140	13.29
32.5	124	229	175	15.33
35	165	272	216	18.09
37.5	213	319	263	20.53
40	267	372	317	23.34
42.5	327	432	377	25.42
45	395	500	443	27.68
47.5	469	570	514	29.31
50	546	651	589	31.01
52.5	623	728	667	32.19
55	699	813	749	33.34
57.5	775	901	833	34.01
60	854	993	918	34.44
62.5	929	1095	1004	34.5
65	1005	1194	1091	NA
