depth	min95%	max95%	best	acc.rate
0	1192	1331	1280	338.11
2	1874	2013	1956	338.11
4	2550	2728	2633	338.11
6	3225	3448	3309	338.11
8	3888	4169	3985	338.11
10	4545	4890	4661	338.11
12	4914	5272	5035	35.56
14	4994	5320	5106	35.56
16	5072	5372	5177	35.56
18	5152	5429	5248	35.56
20	5227	5489	5319	35.56
22	5300	5551	5391	35.56
24	5373	5610	5462	35.56
26	5443	5669	5533	35.56
28	5516	5730	5604	35.56
30	5584	5801	5675	35.56
32	5650	5880	5746	23.26
34	5703	5916	5793	23.26
36	5753	5953	5839	23.26
38	5802	5992	5886	23.26
40	5853	6031	5932	23.26
42	5904	6071	5979	23.26
44	5954	6111	6025	23.26
46	6003	6152	6072	23.26
48	6048	6194	6118	23.26
50	6089	6236	6165	23.26
52	6129	6280	6211	23.26
54	6169	6324	6258	23.26
56	6208	6373	6304	23.26
58	6358	6524	6455	127.5
60	6619	6779	6710	127.5
62	6884	7040	6965	127.5
64	7135	7302	7220	127.5
66	7382	7568	7475	127.5
68	7626	7829	7730	127.5
70	7870	8091	7985	127.5
72	8110	8357	8240	127.5
74	8346	8626	8495	127.5
76	8587	8897	8750	127.5
78	8827	9166	9005	127.5
80	9065	9435	9260	NA
