depth	min95%	max95%	best	acc.rate
0	1312	2545	1561	271.76
2	1756	2960	2103	267.57
4	2190	3374	2634	257.73
6	2614	3763	3143	242.23
8	3003	4151	3617	221.08
10	3382	4509	4047	194.28
12	3739	4806	4420	164.26
14	4056	5049	4735	136.62
16	4339	5262	4995	111.71
18	4594	5452	5207	89.51
20	4821	5606	5376	70.05
22	5021	5720	5507	53.31
24	5192	5805	5607	39.29
26	5338	5866	5679	28
28	5463	5903	5731	19.43
30	5568	5923	5766	13.58
32	5661	5939	5791	10.4
34	5719	5948	5811	8.83
36	5750	5969	5829	8.41
38	5763	5996	5846	9.15
40	5775	6034	5865	11.05
42	5794	6091	5888	14.1
44	5819	6158	5918	18.31
46	5855	6210	5958	23.67
48	5904	6284	6008	30.19
50	5967	6380	6072	37.86
52	6049	6489	6152	46.69
54	6150	6610	6250	56.68
56	6271	6745	6369	67.82
58	6405	6892	6511	79.48
60	6554	7054	6675	90.18
62	6731	7230	6860	99.84
64	6917	7411	7065	108.45
66	7118	7602	7285	116.01
68	7329	7801	7521	122.53
70	7551	8010	7769	128
72	7777	8249	8027	132.43
74	8005	8476	8294	135.81
76	8243	8732	8567	138.14
78	8481	9018	8844	139.43
80	8718	9312	9123	139.72
