depth	min95%	max95%	best	acc.rate
0	-1011	-863	-927	46.07
1	-960	-820	-880	46.07
2	-910	-777	-834	46.07
3	-860	-734	-788	46.07
4	-810	-691	-742	46.07
5	-759	-648	-696	46.07
6	-709	-605	-650	46.07
7	-659	-563	-604	46.07
8	-609	-520	-558	46.07
9	-558	-477	-512	46.07
10	-508	-434	-466	46.07
11	-458	-391	-420	46.07
12	-407	-348	-374	46.07
13	-357	-305	-328	46.07
14	-307	-262	-282	46.07
15	-256	-219	-235	46.07
16	-206	-177	-189	46.07
17	-156	-134	-143	46.07
18	-106	-91	-97	46.07
19	-55	-48	-51	46.07
20	-5	-5	-5	46.07
21	38	45	41	46.07
22	81	96	87	46.07
23	124	146	133	46.07
24	167	196	179	46.07
25	209	246	225	46.07
26	252	297	271	46.07
27	295	347	317	46.07
28	338	397	364	46.07
29	381	448	410	46.07
30	424	498	456	46.07
31	467	548	502	46.07
32	510	598	548	46.07
33	553	649	594	46.07
34	595	699	640	46.07
35	638	749	686	46.07
36	681	800	732	46.07
37	724	850	778	46.07
38	767	900	824	46.07
39	810	950	870	46.07
40	853	1001	916	46.07
41	896	1051	963	46.07
42	939	1101	1009	46.07
43	981	1152	1055	46.07
44	1024	1202	1101	46.07
45	1067	1252	1147	46.07
46	1110	1302	1193	46.07
47	1153	1353	1239	46.07
48	1196	1403	1285	46.07
49	1239	1453	1331	46.07
50	1282	1503	1377	NA
