depth	min95%	max95%	best	acc.rate
0	-4757	-4605	-4684	77.61
5	-4365	-4222	-4296	77.61
10	-3972	-3838	-3908	77.61
15	-3580	-3454	-3520	77.61
20	-3188	-3071	-3132	77.61
25	-2795	-2688	-2744	77.61
30	-2403	-2305	-2355	77.61
35	-2010	-1922	-1967	77.61
40	-1618	-1538	-1579	77.61
45	-1226	-1155	-1191	77.61
50	-834	-771	-803	77.61
55	-443	-387	-415	77.61
60	-52	-3	-27	77.61
65	338	383	361	77.61
70	726	771	749	77.61
75	1115	1160	1137	77.61
80	1502	1549	1525	77.61
85	1889	1939	1913	77.61
90	2274	2329	2301	77.61
95	2659	2719	2689	77.61
100	3044	3110	3077	77.61
105	3429	3500	3465	77.61
110	3814	3891	3853	77.61
115	4198	4283	4241	77.61
120	4583	4675	4629	77.61
125	4967	5066	5018	77.61
130	5352	5458	5406	77.61
135	5735	5849	5794	77.61
140	6119	6241	6182	77.61
145	6503	6633	6570	77.61
150	6886	7025	6958	77.61
155	7270	7417	7346	77.61
160	7654	7810	7734	NA
