"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
5	0	1	1	1	3
10	0	1	1	1	3
15	0	1	1	1	3
20	0	1	1	1	3
25	0	1	1	1	3
30	0	1	1	1	3
35	0	1	1	1	3
40	0	1	1	1	3
45	0	1	1	1	3
50	0	1	1	1	3
55	0	1	1	1	3
60	0	1	1	1	3
65	0	1	1	1	3
70	0	1	1	1	3
75	0	1	1	0	2
80	0	1	0	0	1
85	0	1	0	0	1
90	0	1	0	0	1
95	0	0	0	0	0
100	0	0	0	0	0
105	0	0	0	0	0
110	0	0	0	0	0
115	0	0	0	0	0
120	0	0	0	0	0
125	0	0	0	0	0
130	0	1	0	0	1
135	0	1	0	0	1
140	0	1	0	0	1
145	0	1	1	1	3
150	0	1	1	1	3
155	0	1	1	1	3
160	0	1	1	1	3
