"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
5	0	0	0	0	0
15	0	0	0	0	0
25	0	0	0	0	0
35	0	0	0	0	0
45	0	0	0	0	0
55	0	0	0	0	0
65	0	0	0	0	0
75	0	0	0	0	0
85	0	0	0	0	0
95	0	0	0	0	0
105	0	0	0	0	0
115	0	0	0	0	0
125	0	0	0	0	0
135	0	0	0	0	0
145	0	0	0	0	0
155	0	0	0	0	0
165	0	0	0	0	0
175	0	0	0	0	0
185	0	0	0	0	0
195	0	0	0	0	0
205	0	0	0	0	0
215	0	0	0	0	0
225	0	0	0	0	0
235	0	0	0	0	0
245	0	1	0	0	1
255	0	1	0	0	1
265	0	1	1	1	3
275	0	1	1	1	3
285	0	1	1	1	3
295	0	1	1	1	3
305	0	1	1	0	2
315	0	1	0	0	1
325	0	1	0	0	1
335	0	1	0	0	1
345	0	1	0	0	1
355	0	1	1	1	3
365	0	1	1	1	3
375	0	1	1	1	3
385	0	1	1	1	3
389	0	1	1	1	3
392	0	1	1	0	2
395	0	1	1	0	2
400	0	1	1	0	2
405	0	1	0	0	1
410	0	1	0	0	1
415	0	1	0	0	1
