depth	min95%	max95%	best	acc.rate
10	-12244	11593	256	129.39
20	-10369	12334	1550	129.39
30	-8488	13075	2844	129.39
40	-6593	13851	4138	129.39
50	-4697	14640	5432	129.39
60	-2800	15408	6725	129.39
70	-903	16166	8019	129.39
80	991	16924	9313	129.39
90	2871	17694	10607	129.39
100	4751	18464	11901	129.39
110	6631	19218	13195	129.39
120	8515	19972	14489	129.39
130	10438	20727	15783	129.39
140	12361	21482	17077	129.39
150	14271	22240	18370	129.39
160	16156	22995	19664	129.39
170	18025	23766	20958	129.39
180	19883	24576	22252	129.39
190	21788	25381	23546	129.39
200	23629	26146	24840	129.39
210	25446	26922	26134	129.39
220	26834	27918	27363	129.39
230	27968	29458	28657	129.39
240	28784	31151	29886	129.39
250	29601	32955	31180	129.39
260	30365	34815	32474	129.39
270	31151	36698	33768	129.39
280	31931	38582	35062	129.39
290	32690	40473	36355	129.39
300	33430	42355	37649	129.39
310	34212	44185	38943	129.39
320	34986	46017	40237	129.39
330	35741	47902	41531	129.39
340	36502	49787	42825	129.39
350	37273	51672	44119	129.39
360	38044	53547	45413	129.39
370	38814	55420	46707	129.39
380	39575	57293	48000	129.39
390	40333	59166	49294	129.39
400	41091	61039	50588	129.39
410	41850	62912	51882	129.39
420	42611	64785	53176	129.39
430	43396	66657	54470	129.39
440	44181	68530	55764	129.39
450	44966	70403	57058	129.39
460	45735	72279	58352	129.39
470	46489	74155	59645	129.39
480	47242	76031	60939	129.39
490	47995	77908	62233	129.39
500	48749	79784	63527	129.39
510	49502	81661	64821	129.39
520	50256	83537	66115	129.39
530	51009	85414	67409	129.39
540	51763	87290	68703	129.39
550	52516	89166	69997	129.39
560	53271	91043	71290	129.39
570	54034	92919	72584	129.39
580	54815	94797	73878	129.39
590	55596	96676	75172	129.39
600	56377	98556	76466	129.39
610	57159	100436	77760	129.39
620	57940	102316	79054	129.39
630	58721	104196	80348	129.39
640	59502	106076	81642	129.39
650	60284	107956	82935	129.39
660	61065	109836	84229	129.39
670	61846	111715	85523	129.39
680	62627	113595	86817	129.39
690	63409	115475	88111	129.39
700	64190	117355	89405	129.39
710	64972	119235	90699	129.39
720	65753	121115	91993	129.39
730	66535	122995	93287	129.39
740	67316	124874	94580	129.39
750	68098	126754	95874	129.39
760	68879	128634	97168	NA
