depth	min95%	max95%	best	acc.rate
10	174	841	487	7.68
20	316	856	564	7.68
30	460	873	641	7.68
40	602	886	718	7.68
50	719	904	791	7.68
60	792	934	867	7.68
70	986	1133	1075	26.4
80	1213	1392	1320	22.57
90	1442	1626	1546	22.57
100	1644	1884	1771	22.57
110	2176	2408	2309	79.23
120	2587	2838	2737	6.44
130	2725	2881	2801	6.44
140	2819	2965	2880	10.08
150	2924	3056	2981	10.08
160	3022	3152	3082	10.08
170	3117	3260	3183	10.08
180	3206	3370	3284	10.08
190	3293	3479	3384	10.08
200	3378	3595	3485	10.08
210	3533	3796	3664	21.26
220	3653	4045	3877	21.26
230	3753	4318	4090	21.26
240	3854	4609	4302	21.26
250	3954	4902	4515	21.26
260	4053	5194	4727	21.26
270	4207	5472	4947	27.93
280	4839	5548	5226	27.93
290	5160	5724	5482	5.19
300	5252	5763	5534	5.19
310	5330	5801	5586	5.19
320	5405	5851	5638	5.19
330	5476	5903	5690	5.19
340	5522	5952	5742	5.19
350	5555	6003	5794	5.19
360	5590	6067	5846	5.19
370	5628	6130	5898	5.19
380	5659	6202	5949	5.19
390	5685	6285	6001	5.19
400	5714	6362	6053	5.19
410	5783	6416	6118	7.17
420	5880	6461	6190	7.17
430	5971	6506	6261	7.17
440	6055	6558	6333	7.17
450	6143	6612	6405	7.17
460	6234	6676	6476	7.17
470	6320	6735	6548	7.17
480	6398	6798	6620	7.17
490	6473	6865	6691	7.17
500	6551	6936	6763	7.17
510	6621	7008	6835	7.17
520	6687	7081	6906	7.17
530	6747	7165	6978	7.17
540	6807	7244	7050	7.17
550	6866	7335	7121	7.17
560	6929	7417	7190	NA
