depth	min95%	max95%	best	acc.rate
10	-28	238	86	4.73
20	34	255	134	4.99
30	90	287	188	6.04
40	143	338	254	7.07
50	202	404	325	6.87
60	285	470	392	6.87
70	373	547	466	8.29
80	472	666	561	11.13
90	598	831	694	16.52
100	792	1069	895	24.83
110	1064	1385	1181	33.09
120	1412	1760	1546	40.43
130	1834	2197	1980	46.86
140	2320	2687	2474	52.36
150	2866	3223	3019	56.94
160	3445	3796	3605	60.6
170	4062	4397	4224	63.34
180	4710	5015	4867	65.17
190	5377	5653	5523	66.07
200	6050	6294	6185	66.05
210	6720	6937	6842	65.26
220	7367	7579	7490	64.36
230	8000	8212	8130	63.47
240	8624	8836	8761	62.57
250	9218	9448	9383	61.68
260	9807	10052	9995	60.78
270	10404	10674	10599	59.91
280	10991	11303	11195	59.16
290	11572	11927	11783	58.52
300	12155	12542	12366	58
310	12735	13143	12944	57.61
320	13327	13727	13519	57.32
330	13921	14301	14091	57.16
340	14503	14871	14663	57.1
350	15080	15423	15233	57.06
360	15637	15986	15804	57.05
370	16175	16566	16374	57.05
380	16686	17184	16945	57.05
385	16934	17509	17230	NA
