depth	min95%	max95%	best	acc.rate
0	148	792	426	5.81
12.5	225	859	498	5.81
25	302	927	571	5.81
37.5	377	994	644	5.81
50	456	1061	716	5.81
62.5	534	1129	789	2.38
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
300	1886	2319	2061	5.81
NA	NA	NA	NA	NA
325	2040	2454	2207	5.81
NA	NA	NA	NA	NA
350	2192	2590	2352	5.81
NA	NA	NA	NA	NA
375	2344	2726	2497	5.81
NA	NA	NA	NA	NA
400	2493	2860	2643	5.81
NA	NA	NA	NA	NA
425	2644	2995	2788	5.81
NA	NA	NA	NA	NA
450	2794	3130	2933	5.81
NA	NA	NA	NA	NA
475	2944	3269	3078	5.81
NA	NA	NA	NA	NA
500	3090	3406	3224	5.81
NA	NA	NA	NA	NA
525	3238	3540	3369	5.81
NA	NA	NA	NA	NA
550	3385	3681	3514	5.81
NA	NA	NA	NA	NA
575	3529	3817	3659	5.81
NA	NA	NA	NA	NA
600	3678	3959	3805	5.81
NA	NA	NA	NA	NA
625	3824	4100	3950	5.81
NA	NA	NA	NA	NA
650	3966	4238	4095	5.81
NA	NA	NA	NA	NA
675	4108	4375	4240	5.81
NA	NA	NA	NA	NA
700	4251	4516	4386	5.81
NA	NA	NA	NA	NA
725	4394	4656	4531	5.81
NA	NA	NA	NA	NA
750	4536	4798	4676	5.81
NA	NA	NA	NA	NA
775	4679	4946	4822	5.81
NA	NA	NA	NA	NA
800	4822	5091	4967	5.81
NA	NA	NA	NA	NA
825	4961	5236	5112	5.81
NA	NA	NA	NA	NA
850	5101	5388	5257	5.81
NA	NA	NA	NA	NA
875	5238	5539	5403	5.81
NA	NA	NA	NA	NA
900	5415	5693	5572	9.07
NA	NA	NA	NA	NA
925	5654	5930	5799	9.07
NA	NA	NA	NA	NA
950	5788	6235	6026	9.07
NA	NA	NA	NA	NA
975	5901	6293	6112	3.23
NA	NA	NA	NA	NA
1000	6018	6345	6193	3.23
NA	NA	NA	NA	NA
1025	6121	6413	6274	3.23
NA	NA	NA	NA	NA
1050	6213	6492	6354	3.23
NA	NA	NA	NA	NA
1075	6290	6584	6435	3.23
NA	NA	NA	NA	NA
1100	6364	6679	6515	3.23
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
