depth	min95%	max95%	best	acc.rate
0	-104	652	219	6.16
12.5	-20	722	296	6.16
25	66	791	373	6.16
37.5	152	861	450	6.16
50	238	931	527	6.16
62.5	323	1000	604	6.16
75	408	1070	681	6.16
87.5	492	1140	758	6.16
100	577	1209	835	6.16
112.5	662	1278	912	6.16
125	745	1348	989	6.16
137.5	830	1417	1066	6.16
150	914	1482	1143	6.16
162.5	999	1551	1220	6.16
175	1082	1622	1297	6.16
187.5	1165	1694	1374	6.16
200	1249	1766	1451	6.16
212.5	1331	1834	1528	6.16
225	1412	1904	1605	6.16
237.5	1495	1973	1682	6.16
250	1577	2041	1759	6.16
262.5	1659	2114	1836	6.16
275	1740	2185	1913	6.16
287.5	1821	2256	1990	6.16
300	1903	2324	2067	6.16
312.5	1984	2394	2144	6.16
325	2066	2462	2221	6.16
337.5	2149	2533	2298	6.16
350	2227	2603	2375	6.16
362.5	2305	2672	2452	6.15
375	2381	2742	2529	6.15
387.5	2456	2812	2606	6.15
400	2531	2883	2683	6.14
412.5	2605	2957	2759	6.13
425	2677	3031	2836	6.13
437.5	2754	3103	2913	6.12
450	2826	3178	2989	6.11
462.5	2899	3247	3066	6.11
475	2971	3325	3142	6.1
487.5	3043	3405	3218	6.09
500	3115	3481	3294	6.08
512.5	3189	3560	3370	6.07
525	3261	3635	3446	6.06
537.5	3332	3711	3521	6.05
550	3406	3787	3597	6.03
562.5	3480	3865	3672	6.02
575	3553	3944	3747	6.01
587.5	3628	4022	3823	5.99
600	3702	4097	3897	5.98
612.5	3777	4178	3972	5.96
625	3853	4256	4046	5.95
637.5	3927	4329	4121	5.93
650	4002	4401	4195	5.91
662.5	4075	4474	4269	5.9
675	4145	4545	4342	5.88
687.5	4219	4616	4416	5.86
700	4297	4687	4489	5.84
712.5	4375	4762	4562	5.82
725	4449	4835	4634	5.8
737.5	4524	4902	4707	5.78
750	4598	4968	4779	5.76
762.5	4673	5036	4851	5.73
775	4749	5108	4922	5.71
787.5	4823	5179	4993	5.69
800	4895	5250	5064	5.66
812.5	4968	5316	5135	5.64
825	5044	5381	5205	5.61
837.5	5117	5447	5275	5.59
850	5192	5513	5345	5.56
862.5	5266	5579	5414	5.53
875	5340	5645	5483	5.5
887.5	5416	5711	5552	5.48
900	5490	5775	5620	5.44
912.5	5561	5840	5688	5.38
925	5624	5903	5755	5.3
937.5	5688	5963	5820	5.19
950	5749	6024	5884	5.04
962.5	5811	6085	5946	4.9
975	5869	6142	6007	4.76
987.5	5932	6204	6066	4.64
1000	5992	6261	6123	4.52
1012.5	6050	6312	6179	4.43
1025	6105	6378	6234	4.33
1037.5	6162	6437	6287	4.26
1050	6218	6507	6340	4.19
1062.5	6273	6573	6392	4.14
1075	6327	6631	6444	4.09
1087.5	6380	6698	6495	4.06
1100	6429	6756	6545	4.04
1112.5	6479	6815	6596	4.04
1125	6516	6879	6646	4.04
1137.5	6562	6944	6697	4.04
1150	6602	7009	6747	NA
