depth	min95%	max95%	best	acc.rate
8.5	-48	-20	-32	4.67
10	-40	-14	-25	4.67
16	-13	17	3	4.67
20	5	40	22	4.67
25	26	68	45	4.65
30	48	96	69	4.64
35	69	124	92	4.61
40	91	152	115	4.59
45	112	179	138	4.56
50	133	206	160	4.52
55	154	232	183	4.48
60	175	259	205	4.43
65	196	285	227	4.37
70	217	310	249	4.32
75	237	335	270	4.25
80	257	359	292	4.19
85	276	383	312	4.11
90	296	406	333	4.03
95	315	428	353	3.95
99	330	445	369	3.88
101	338	454	376	3.84
105	353	471	392	3.77
110	372	490	410	3.67
115	391	510	428	3.56
120	408	527	446	3.46
125	426	545	463	3.34
130	443	560	479	3.22
135	461	575	495	3.1
140	477	589	511	2.97
145	492	602	525	2.83
150	507	615	539	2.69
155	520	626	552	2.56
160	532	637	565	2.44
165	543	649	577	2.33
170	552	661	588	2.24
175	561	673	599	2.16
180	569	684	610	2.1
182.5	573	690	615	2.08
185	577	695	620	2.06
190	586	705	630	2.02
195	594	716	641	2.01
199	600	724	649	2.01
201	603	728	653	2.01
205	609	736	661	2.02
210	617	746	671	2.05
215	624	756	681	2.1
220	632	767	692	2.16
225	641	779	703	2.24
230	651	792	714	2.33
235	661	807	726	2.43
240	672	822	738	2.56
245	683	837	751	2.69
250	696	853	765	2.85
255	710	868	780	3.01
260	725	885	795	3.19
265	741	903	812	3.39
270	758	920	829	3.59
275	775	940	847	3.78
280	791	961	866	3.95
285	810	982	887	4.1
290	830	1006	907	4.24
295	850	1029	929	4.37
299	865	1046	946	4.46
301	872	1055	955	4.5
305	887	1074	973	4.57
310	906	1100	996	4.65
315	926	1124	1020	4.71
320	948	1150	1043	4.76
325	969	1174	1067	4.79
330	992	1200	1091	4.81
335	1016	1225	1115	4.81
340	1036	1248	1139	4.8
345	1058	1273	1163	4.77
350	1083	1296	1187	4.72
355	1107	1320	1211	4.66
360	1128	1342	1234	4.59
365	1151	1363	1257	4.5
370	1175	1384	1279	4.39
375	1194	1405	1301	4.27
380	1224	1424	1322	4.14
384	1242	1438	1338	4.02
390	1263	1460	1362	3.82
395	1284	1477	1380	3.64
399	1294	1490	1395	3.49
402	1305	1501	1405	3.4
405	1321	1511	1415	3.35
410	1338	1529	1432	3.32
415	1355	1550	1449	3.39
420	1371	1583	1466	3.54
425	1389	1615	1484	3.78
430	1406	1655	1503	4.1
435	1420	1706	1525	4.52
440	1440	1755	1548	5.02
445	1461	1796	1575	5.61
450	1491	1839	1604	6.28
455	1520	1886	1637	7.04
460	1553	1942	1674	7.89
465	1589	2000	1715	8.83
470	1632	2055	1761	9.85
475	1682	2115	1813	10.96
480	1740	2182	1870	12.16
485	1806	2249	1933	13.44
490	1882	2319	2003	14.81
495	1962	2387	2080	16.27
498	2015	2428	2130	17.19
501	2065	2470	2182	18.04
505	2137	2526	2256	19.02
510	2231	2598	2353	19.97
515	2325	2673	2454	20.63
520	2417	2754	2558	20.98
525	2509	2832	2663	21.04
530	2605	2917	2768	20.81
535	2702	3003	2871	20.27
540	2791	3084	2971	19.44
545	2881	3165	3066	18.32
550	2972	3245	3155	17.06
555	3065	3328	3238	15.93
560	3149	3409	3316	14.93
565	3230	3483	3389	14.05
570	3313	3557	3457	13.3
575	3394	3627	3523	12.67
580	3473	3695	3585	12.17
585	3549	3761	3645	11.8
590	3616	3836	3703	11.55
595	3682	3904	3761	11.43
599	3729	3959	3806	11.41
601	3751	3987	3829	11.41
605	3789	4045	3875	NA
